コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,190.00,192.00,190.00,192.00,101000,19243000
1305-T,ETFTPX,東証,915.00,925.00,913.00,923.00,87000,79978900
1306-T,TOPIX投,東証,913.00,922.00,909.00,920.00,1548210,1416541650
1308-T,上場TPX,東証,899.00,905.00,896.00,905.00,228000,205795000
1309-O,上証50連,大証,27820.00,28030.00,27810.00,28000.00,2430,67887840
1310-T,ETF･コア30,東証,535.00,535.00,535.00,535.00,200,107000
1311-T,TOPIX30,東証,538.00,539.00,535.00,537.00,14870,7997980
1312-O,RN小型コア,大証,8830.00,9000.00,8830.00,8980.00,5603,49852330
1313-T,KODEX200,東証,1520.00,1529.00,1520.00,1529.00,600,913530
1314-T,上場新興,東証,529.00,529.00,529.00,529.00,700,370300
1316-T,上場大型,東証,629.00,629.00,629.00,629.00,200,125800
1317-T,上場中型,東証,,,,,0,0
1318-T,上場小型,東証,904.00,904.00,904.00,904.00,500,452000
1319-T,300投信,東証,156.00,156.00,156.00,156.00,2000,312000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,9580.00,9680.00,9580.00,9670.00,31870,307107300
1321-O,225投信,大証,9590.00,9680.00,9580.00,9660.00,158628,1527553420
1322-T,上場パンタ,東証,3930.00,3930.00,3910.00,3930.00,7430,29156900
1323-O,南ア40,大証,245.00,246.00,244.00,244.00,5500,1348100
1324-O,RTS連動,大証,109.00,110.00,109.00,110.00,81200,8857400
1325-T,ボベスパ,東証,239.00,239.00,236.00,239.00,32300,7693200
1326-T,SPDRゴール,東証,8900.00,8930.00,8870.00,8920.00,10596,94327040
1327-T,EASY商品,東証,3730.00,3740.00,3720.00,3740.00,510,1902420
1328-O,金連動,大証,2760.00,2765.00,2750.00,2765.00,38430,106108850
1329-T,iS225,東証,9420.00,9540.00,9420.00,9540.00,2180,20666600
1330-T,上場225,東証,9620.00,9720.00,9620.00,9700.00,110070,1064861100
1332-T,日水,東証1部,262.00,265.00,261.00,262.00,1018400,267984800
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,147.00,149.00,147.00,148.00,336000,49655000
1340-O,印ルピー,大証,202.00,202.00,202.00,202.00,2000,404000
1341-O,伯レアル,大証,4830.00,4850.00,4830.00,4850.00,150,726400
1342-O,露ルーブル,大証,,,,,0,0
1343-T,REIT-ETF,東証,904.00,905.00,896.00,905.00,7240,6530530
1344-T,MXSコア30,東証,530.00,530.00,530.00,530.00,10,5300
1345-T,上場Jリート,東証,878.00,882.00,878.00,880.00,1700,1494300
1346-O,MXS225,大証,9450.00,9450.00,9450.00,9450.00,9,85050
1347-T,上場グリチ,東証,3100.00,3130.00,3080.00,3130.00,8170,25438500
1348-T,MXSトピクス,東証,891.00,896.00,888.00,894.00,660,588130
1352-T,ホウスイ,東証1部,116.00,116.00,114.00,115.00,26000,2994000
1376-J,カネコ種,JQ,780.00,781.00,776.00,781.00,3700,2884800
1377-T,サカタのタネ,東証1部,1307.00,1334.00,1307.00,1329.00,25700,33898700
1378-T,雪国マイタケ,東証2部,383.00,383.00,380.00,380.00,18300,6998200
1379-T,ホクト,東証1部,1882.00,1905.00,1881.00,1890.00,98000,185499300
1380-J,秋川牧園,JQ,,,,,0,0
1381-J,アクシーズ,JQ,,,,,0,0
1382-J,ホーブ,JQ,145000.00,145000.00,145000.00,145000.00,1,145000
1400-H,ルーデン,HCグロース,5440.00,5490.00,5440.00,5490.00,8,43820
1401-F,エムビーエス,福証Q-Board,77200.00,77200.00,77200.00,77200.00,1,77200
1405-T,サーラ住宅,東証2部,341.00,341.00,341.00,341.00,500,170500
1407-J,ウエストHD,JQ,230.00,258.00,222.00,229.00,559300,130307600
1408-H,サムシングHD,HCグロース,35050.00,35050.00,34600.00,34650.00,3,104300
1412-T,チャイナボーチ,東証1部外国,28350.00,30050.00,28080.00,29050.00,560,16363150
1414-T,ショーボンド,東証1部,1760.00,1799.00,1760.00,1783.00,49300,87824300
1491-T,中外鉱,東証2部,33.00,34.00,33.00,34.00,465900,15384900
1491-O,中外鉱,大証2部,,,,,0,0
1514-T,住石HD,東証1部,103.00,103.00,102.00,103.00,59000,6063400
1515-T,日鉄鉱,東証1部,408.00,434.00,407.00,428.00,302000,126898000
1518-T,三井松,東証1部,126.00,128.00,125.00,126.00,938000,118747000
1518-F,三井松,福証,,,,,0,0
1605-T,国際帝石,東証1部,721000.00,725000.00,717000.00,721000.00,3917,2824751000
1610-T,ETF･電機,東証,,,,,0,0
1612-T,ETF･銀行,東証,166.00,166.00,166.00,166.00,1000,166000
1613-T,電機,東証,1139.00,1139.00,1139.00,1139.00,10,11390
1615-T,銀行,東証,175.00,175.00,173.00,174.00,1057500,184080000
1617-T,食品,東証,,,,,0,0
1618-T,エネ資源,東証,14960.00,14960.00,14650.00,14650.00,101,1486630
1619-T,建設資材,東証,,,,,0,0
1620-T,素材化学,東証,10880.00,10880.00,10880.00,10880.00,1,10880
1621-T,医薬品,東証,10830.00,10830.00,10760.00,10780.00,6,64700
1622-T,自動車,東証,11400.00,11720.00,11400.00,11720.00,1127,13058460
1623-T,鉄鋼非鉄,東証,22720.00,23000.00,22720.00,22950.00,19,433450
1624-T,機械,東証,,,,,0,0
1625-T,電機精密,東証,,,,,0,0
1626-T,情通サ他,東証,,,,,0,0
1627-T,電力ガス,東証,11430.00,11440.00,11400.00,11440.00,135,1543050
1628-T,運輸物流,東証,11160.00,11160.00,11160.00,11160.00,1,11160
1629-T,商社卸売,東証,18340.00,18630.00,18340.00,18590.00,23,424790
1630-T,小売,東証,,,,,0,0
1631-T,銀行・17,東証,,,,,0,0
1632-T,金融,東証,9460.00,9480.00,9460.00,9480.00,38,359760
1633-T,不動産,東証,16680.00,16680.00,16320.00,16430.00,83,1367170
1634-T,ダイワ食品,東証,,,,,0,0
1635-T,ダイワエネ,東証,,,,,0,0
1636-T,ダイワ建設,東証,,,,,0,0
1637-T,ダイワ素材,東証,,,,,0,0
1638-T,ダイワ医薬,東証,,,,,0,0
1639-T,ダイワ自動,東証,,,,,0,0
1640-T,ダイワ鉄鋼,東証,,,,,0,0
1641-T,ダイワ機械,東証,,,,,0,0
1642-T,ダイワ電機,東証,,,,,0,0
1643-T,ダイワ情報,東証,,,,,0,0
1644-T,ダイワ電力,東証,,,,,0,0
1645-T,ダイワ運輸,東証,,,,,0,0
1646-T,ダイワ商社,東証,,,,,0,0
1647-T,ダイワ小売,東証,,,,,0,0
1648-T,ダイワ銀行,東証,,,,,0,0
1649-T,ダイワ金融,東証,,,,,0,0
1650-T,ダイワ不動,東証,,,,,0,0
1661-T,ガス開,東証1部,563.00,565.00,563.00,564.00,17000,9587000
1662-T,石油資源,東証1部,4410.00,4490.00,4410.00,4430.00,47900,212967000
1701-T,昭和KDE,東証2部,92.00,93.00,92.00,92.00,36000,3325000
