コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,229.00,229.00,226.00,226.00,213000,48540000
1305-T,ETFTPX,東証,1199.00,1204.00,1189.00,1190.00,2081400,2495162320
1306-T,TOPIX投,東証,1196.00,1202.00,1185.00,1185.00,4174630,4985775630
1308-T,上場TPX,東証,1184.00,1188.00,1172.00,1173.00,1055500,1245656200
1309-O,上証50連,大証,20510.00,20510.00,20360.00,20420.00,384,7847130
1310-T,ETF･コア30,東証,625.00,629.00,621.00,622.00,4570,2851370
1311-T,TOPIX30,東証,636.00,639.00,630.00,630.00,67590,42931040
1312-O,RN小型コア,大証,12480.00,12680.00,12460.00,12550.00,137,1726560
1313-T,KODEX200,東証,2255.00,2255.00,2255.00,2255.00,10,22550
1314-T,上場新興,東証,1040.00,1100.00,1040.00,1093.00,6300,6824100
1316-T,上場大型,東証,787.00,799.00,785.00,786.00,2970,2338690
1317-T,上場中型,東証,1248.00,1269.00,1247.00,1267.00,3130,3917230
1318-T,上場小型,東証,1292.00,1333.00,1292.00,1324.00,3300,4359090
1319-T,300投信,東証,209.00,213.00,209.00,213.00,8000,1685000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,14520.00,14640.00,14410.00,14420.00,94927,1379779860
1321-O,225投信,大証,14540.00,14650.00,14410.00,14450.00,786991,11455381040
1322-T,上場パンタ,東証,3270.00,3400.00,3220.00,3220.00,6160,20437950
1323-O,南ア40,大証,351.00,355.00,351.00,355.00,1200,422000
1324-O,RTS連動,大証,130.00,131.00,130.00,131.00,8000,1042200
1325-T,ボベスパ,東証,231.00,234.00,231.00,233.00,29900,6922700
1326-T,SPDRゴール,東証,13600.00,13620.00,13560.00,13590.00,2549,34635360
1327-T,EASY商品,東証,4430.00,4450.00,4430.00,4450.00,76,336700
1328-O,金連動,大証,4000.00,4010.00,3990.00,3990.00,2410,9633150
1329-T,iS225,東証,14380.00,14520.00,14330.00,14460.00,3030,43684500
1330-T,上場225,東証,14580.00,14700.00,14510.00,14570.00,293010,4282943400
1332-T,日水,東証1部,208.00,209.00,205.00,206.00,1274500,264178800
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,192.00,194.00,191.00,191.00,881000,169420000
1343-T,REIT-ETF,東証,1458.00,1486.00,1457.00,1475.00,316790,466944900
1344-T,MXSコア30,東証,623.00,623.00,614.00,614.00,6740,4166330
1345-T,上場Jリート,東証,1395.00,1419.00,1395.00,1412.00,61200,86146100
1346-O,MXS225,大証,14520.00,14630.00,14400.00,14440.00,54044,784870660
1347-T,上場グリチ,東証,4310.00,4310.00,4170.00,4170.00,220,945400
1348-T,MXSトピクス,東証,1189.00,1192.00,1177.00,1178.00,407070,483580520
1349-T,アジア債券,東証,13250.00,13260.00,13230.00,13230.00,15,198810
1352-T,ホウスイ,東証1部,135.00,136.00,133.00,133.00,52000,6999000
1376-J,カネコ種,JQスタンダード,980.00,980.00,950.00,975.00,15400,14863900
1377-T,サカタのタネ,東証1部,1341.00,1357.00,1327.00,1329.00,114100,152941500
1378-T,雪国マイタケ,東証2部,275.00,275.00,272.00,272.00,21400,5865800
1379-T,ホクト,東証1部,1790.00,1808.00,1775.00,1776.00,38000,68062400
1380-J,秋川牧園,JQスタンダード,399.00,399.00,399.00,399.00,1000,399000
1381-J,アクシーズ,JQスタンダード,877.00,877.00,877.00,877.00,100,87700
1382-J,ホーブ,JQスタンダード,108000.00,110900.00,105700.00,106800.00,45,4838400
1383-J,ベルグアース,JQスタンダード,1770.00,1770.00,1720.00,1720.00,5600,9748200
1400-J,ルーデン,JQグロース,15750.00,16970.00,15700.00,16700.00,132,2136910
1401-F,エムビーエス,福証Q-Board,,,,,0,0
1405-T,サーラ住宅,東証2部,771.00,783.00,770.00,779.00,1800,1402000
1407-J,ウエストHD,JQスタンダード,2553.00,2610.00,2517.00,2594.00,404900,1045030500
1408-J,サムシングHD,JQグロース,82000.00,83400.00,82000.00,83000.00,47,3881700
1414-T,ショーボンド,東証1部,3800.00,3840.00,3785.00,3790.00,74000,282308500
1417-T,ミライトHD,東証1部,934.00,934.00,911.00,912.00,169900,156802800
1417-O,ミライトHD,大証1部,,,,,0,0
1418-J,インターライフ,JQスタンダード,209.00,211.00,208.00,208.00,14800,3097000
1419-T,タマホーム,東証1部,1400.00,1406.00,1395.00,1398.00,79800,111801400
1419-F,タマホーム,福証,,,,,0,0
1420-T,サンヨーH,東証2部,810.00,815.00,792.00,793.00,60600,48800000
1491-T,中外鉱,東証2部,37.00,38.00,36.00,37.00,265700,9850600
1491-O,中外鉱,大証2部,,,,,0,0
1514-T,住石HD,東証1部,142.00,143.00,141.00,141.00,267800,37934700
1515-T,日鉄鉱,東証1部,438.00,445.00,429.00,429.00,140000,60805000
1518-T,三井松,東証1部,173.00,174.00,172.00,172.00,985000,170217000
1518-F,三井松,福証,,,,,0,0
1540-T,純金信託,東証,4465.00,4465.00,4450.00,4455.00,10764,47963015
1541-T,純プラ信,東証,4610.00,4610.00,4590.00,4610.00,780,3589455
1542-T,純銀信託,東証,7270.00,7270.00,7230.00,7260.00,384,2783810
1543-T,純パラ信,東証,23050.00,23200.00,23040.00,23200.00,213,4909260
1544-T,上場MSジ,東証,754.00,754.00,753.00,753.00,40,30140
1545-O,NASDAQ投,大証,3025.00,3050.00,3020.00,3020.00,810,2457550
1546-O,NYダウ30,大証,15000.00,15120.00,14980.00,15100.00,1078,16204680
1547-T,上場米国,東証,1806.00,1808.00,1788.00,1808.00,5120,9176530
1548-T,上場チャイナ,東証,1023.00,1023.00,1017.00,1022.00,1310,1332840
1549-T,上場インド,東証,1031.00,1046.00,1031.00,1046.00,3340,3471300
1550-T,MXS外株,東証,1511.00,1518.00,1491.00,1491.00,10060,15053290
1551-O,JASDAQ20,大証,7200.00,7670.00,7050.00,7150.00,80590,599606400
1552-O,VIX短期,大証,1890.00,1895.00,1878.00,1894.00,59504,112323869
1554-T,上場MS世,東証,1387.00,1387.00,1377.00,1384.00,1150,1589970
1555-T,上場Aリート,東証,1400.00,1406.00,1400.00,1403.00,810,1135890
1556-T,上場日中,東証,1307.00,1307.00,1216.00,1216.00,3000,3704090
1557-T,SPDR500,東証,16700.00,16760.00,16650.00,16750.00,253,4226570
1559-T,タイSET50,東証,3350.00,3395.00,3340.00,3395.00,1941,6507220
1560-T,ブルサKLCI,東証,5970.00,6040.00,5880.00,6040.00,726,4306740
1561-O,VIX中期,大証,52000.00,52000.00,52000.00,52000.00,2,104000
1562-T,YMアジ日,東証,1461.00,1461.00,1461.00,1461.00,40,58440
1563-T,マザーズコア,東証,1655.00,1689.00,1655.00,1661.00,3632,6100341
1565-T,日経カバコ,東証,13780.00,13840.00,13750.00,13750.00,28,385770
