コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,178.00,180.00,178.00,178.00,76000,13578000
1305-T,ETFTPX,東証,751.00,758.00,751.00,756.00,210500,158688200
1306-T,TOPIX投,東証,751.00,758.00,750.00,754.00,1204250,906373420
1308-T,上場TPX,東証,736.00,745.00,735.00,740.00,298000,219887000
1309-O,上証50連,大証,22900.00,22900.00,22600.00,22740.00,3643,83035480
1310-T,ETF･コア30,東証,444.00,444.00,440.00,440.00,900,397200
1311-T,TOPIX30,東証,448.00,450.00,443.00,450.00,3930,1758310
1312-O,RN小型コア,大証,7500.00,7500.00,7180.00,7200.00,12,87810
1313-T,KODEX200,東証,973.00,981.00,958.00,958.00,130,125070
1314-T,上場新興,東証,445.00,445.00,445.00,445.00,200,89000
1316-T,上場大型,東証,526.00,526.00,518.00,522.00,1800,940000
1317-T,上場中型,東証,,,,,0,0
1318-T,上場小型,東証,,,,,0,0
1319-T,300投信,東証,150.00,150.00,149.00,149.00,3000,449000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,7410.00,7490.00,7400.00,7450.00,136470,1015434400
1321-O,225投信,大証,7470.00,7520.00,7430.00,7480.00,538567,4022910180
1322-T,上場パンタ,東証,3020.00,3090.00,2990.00,3030.00,18520,55918250
1323-O,南ア40,大証,181.00,181.00,177.00,179.00,36400,6539300
1324-O,RTS連動,大証,59.00,59.00,59.00,59.00,37700,2224300
1325-T,ボベスパ,東証,169.00,169.00,166.00,167.00,33700,5681700
1326-T,SPDRゴール,東証,9040.00,9130.00,9040.00,9110.00,18290,166204710
1327-T,EASY商品,東証,3230.00,3230.00,3190.00,3200.00,630,2033410
1328-O,金連動,大証,2850.00,2855.00,2825.00,2855.00,100000,284731150
1329-T,iS225,東証,7450.00,7460.00,7400.00,7440.00,1490,11072700
1330-T,上場225,東証,7490.00,7520.00,7460.00,7470.00,165500,1238784600
1332-T,日水,東証1部,211.00,212.00,207.00,207.00,685900,143538600
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,115.00,116.00,113.00,115.00,546000,62635000
1340-O,印ルピー,大証,199.00,199.00,198.00,198.00,2400,477400
1341-O,伯レアル,大証,4200.00,4200.00,4160.00,4160.00,50,209200
1342-O,露ルーブル,大証,279.00,279.00,279.00,279.00,500,139500
1343-T,REIT-ETF,東証,792.00,798.00,783.00,798.00,32260,25525330
1344-T,MXSコア30,東証,446.00,446.00,438.00,444.00,13280,5876090
1345-T,上場Jリート,東証,790.00,800.00,790.00,794.00,2400,1899500
1346-O,MXS225,大証,7480.00,7480.00,7320.00,7330.00,49,361190
1352-T,ホウスイ,東証1部,81.00,81.00,80.00,80.00,8000,643000
1376-J,カネコ種,JQ,667.00,670.00,667.00,670.00,4900,3275400
1377-T,サカタのタネ,東証1部,1280.00,1289.00,1269.00,1281.00,11900,15193500
1378-T,雪国マイタケ,東証2部,359.00,362.00,358.00,362.00,4800,1726600
1379-T,ホクト,東証1部,1904.00,1906.00,1860.00,1874.00,96800,182141400
1380-J,秋川牧園,JQ,,,,,0,0
1381-J,アクシーズ,JQ,,,,,0,0
1382-J,ホーブ,JQ,,,,,0,0
1400-H,ルーデン,HCグロース,2700.00,2750.00,2700.00,2750.00,3,8150
1401-F,エムビーエス,福証Q-Board,55100.00,55100.00,55100.00,55100.00,3,165300
1405-T,サーラ住宅,東証2部,330.00,334.00,330.00,334.00,1200,396400
1407-J,ウエストHD,JQ,109.00,109.00,103.00,104.00,18500,1968600
1408-H,サムシングHD,HCグロース,,,,,0,0
1412-T,チャイナボーチ,東証1部外国,16400.00,17300.00,16300.00,17000.00,173,2905680
1414-T,ショーボンド,東証1部,1929.00,1929.00,1871.00,1900.00,64300,122565300
1416-O,日本インテ,大証2部,70.00,70.00,70.00,70.00,19000,1330000
1491-T,中外鉱,東証2部,25.00,25.00,24.00,25.00,610400,15249200
1491-O,中外鉱,大証2部,,,,,0,0
1514-T,住石HD,東証1部,65.00,66.00,65.00,66.00,44400,2889100
1515-T,日鉄鉱,東証1部,295.00,300.00,293.00,295.00,63000,18658000
1518-T,三井松,東証1部,92.00,92.00,89.00,91.00,613000,55610000
1518-F,三井松,福証,,,,,0,0
1605-T,国際帝石,東証1部,657000.00,659000.00,640000.00,640000.00,4409,2857366000
1610-T,ETF･電機,東証,,,,,0,0
1612-T,ETF･銀行,東証,133.00,133.00,133.00,133.00,2000,266000
1613-T,電機,東証,895.00,895.00,872.00,876.00,700,617750
1615-T,銀行,東証,141.00,142.00,140.00,141.00,297900,41911300
1617-T,食品,東証,11440.00,11440.00,11270.00,11270.00,12,137110
1618-T,エネ資源,東証,12110.00,12110.00,12000.00,12010.00,227,2739040
1619-T,建設資材,東証,8820.00,8820.00,8820.00,8820.00,20,176400
1620-T,素材化学,東証,8500.00,8500.00,8500.00,8500.00,1,8500
1621-T,医薬品,東証,10170.00,10170.00,10110.00,10130.00,34,345520
1622-T,自動車,東証,9340.00,9340.00,9210.00,9210.00,28,259790
1623-T,鉄鋼非鉄,東証,,,,,0,0
1624-T,機械,東証,11590.00,11690.00,11570.00,11690.00,43,498610
1625-T,電機精密,東証,6770.00,6770.00,6770.00,6770.00,1,6770
1626-T,情通サ他,東証,,,,,0,0
1627-T,電力ガス,東証,12590.00,12640.00,12590.00,12640.00,48,604520
1628-T,運輸物流,東証,,,,,0,0
1629-T,商社卸売,東証,14360.00,14360.00,14230.00,14230.00,7,100310
1630-T,小売,東証,7530.00,7530.00,7380.00,7450.00,78,582750
1631-T,銀行・17,東証,9020.00,9020.00,8960.00,8960.00,26,233820
1632-T,金融,東証,6720.00,6720.00,6620.00,6690.00,15,100240
1633-T,不動産,東証,11090.00,11100.00,11010.00,11080.00,90,997220
1634-T,ダイワ食品,東証,11310.00,11310.00,11310.00,11310.00,10,113100
1635-T,ダイワエネ,東証,12080.00,12080.00,11770.00,11770.00,79,947320
1636-T,ダイワ建設,東証,,,,,0,0
1637-T,ダイワ素材,東証,,,,,0,0
1638-T,ダイワ医薬,東証,,,,,0,0
1639-T,ダイワ自動,東証,9140.00,9140.00,8970.00,8970.00,11,98840
1640-T,ダイワ鉄鋼,東証,,,,,0,0
1641-T,ダイワ機械,東証,,,,,0,0
1642-T,ダイワ電機,東証,6850.00,6850.00,6850.00,6850.00,3,20550
1643-T,ダイワ情報,東証,7950.00,7950.00,7950.00,7950.00,1,7950
1644-T,ダイワ電力,東証,,,,,0,0
1645-T,ダイワ運輸,東証,10030.00,10030.00,10030.00,10030.00,1,10030
1646-T,ダイワ商社,東証,,,,,0,0
1647-T,ダイワ小売,東証,,,,,0,0
1648-T,ダイワ銀行,東証,8940.00,8940.00,8940.00,8940.00,30,268200
1649-T,ダイワ金融,東証,,,,,0,0
1650-T,ダイワ不動,東証,,,,,0,0
1661-T,ガス開,東証1部,543.00,548.00,533.00,548.00,6000,3243000
1662-T,石油資源,東証1部,3530.00,3540.00,3450.00,3470.00,79200,276444000
1701-T,昭和KDE,東証2部,81.00,81.00,81.00,81.00,1000,81000
1710-O,ジェイオーHD,大証2部,15.00,15.00,11.00,13.00,666300,8952700
1711-T,省電舎,東証マザーズ,97000.00,97000.00,97000.00,97000.00,1,97000
1712-T,ダイセキソリュ,東証1部,180000.00,180000.00,178300.00,178300.00,4,718300
1716-J,第一カッター,JQ,,,,,0,0
1717-J,明豊ファシリ,JQ,92.00,92.00,89.00,89.00,1700,153300
1718-J,美樹工業,JQ,129.00,129.00,129.00,129.00,3000,387000
1719-T,ハザマ,東証1部,81.00,81.00,79.00,80.00,62300,5035000
1720-T,東急建設,東証1部,221.00,223.00,220.00,221.00,36080,7955370
1721-T,コムシスHD,東証1部,691.00,699.00,681.00,688.00,315000,216707000
1721-O,コムシスHD,大証1部,,,,,0,0
1722-T,MISAWA,東証1部,201.00,202.00,198.00,200.00,72200,14468800
1722-O,MISAWA,大証1部,,,,,0,0
1723-J,日本電技,JQ,538.00,540.00,535.00,537.00,4900,2633300
1724-J,シンクレイヤ,JQ,,,,,0,0
1725-T,フジタ,東証2部,190.00,190.00,190.00,190.00,600,114000
1726-T,BRHD,東証2部,61.00,61.00,61.00,61.00,9000,549000
1728-J,ミサワ中国,JQ,175.00,175.00,175.00,175.00,1000,175000
1729-H,三光ソフラン,HCグロース,58.00,58.00,58.00,58.00,7000,406000
1730-J,麻生フオーム,JQ,,,,,0,0
1734-S,北弘電社,札証,83.00,83.00,83.00,83.00,5000,415000
1736-J,オーテック,JQ,,,,,0,0
1737-T,三井エンジ,東証2部,,,,,0,0
1739-H,SEED,HCグロース,37000.00,37100.00,37000.00,37000.00,3,111100
1742-T,セコムテクノ,東証2部,2215.00,2215.00,2200.00,2200.00,1500,3315000
1743-O,コーアツ工業,大証2部,,,,,0,0
1743-F,コーアツ工業,福証,,,,,0,0
1750-O,カナック,大証2部,,,,,0,0
1751-J,日立プラサ,JQ,559.00,559.00,559.00,559.00,300,167700
1756-J,和興エンジ,JQ,,,,,0,0
1757-O,東邦グロ,大証2部,11.00,12.00,10.00,11.00,4192650,46607820
1758-J,太洋基礎,JQ,,,,,0,0
1761-S,ミサワ北海,札証,,,,,0,0
1762-T,高松G,東証1部,1640.00,1650.00,1610.00,1624.00,16400,26631000
1762-O,高松G,大証1部,,,,,0,0
1763-J,北陸ミサワ,JQ,,,,,0,0
1764-T,工藤建設,東証2部,74.00,74.00,74.00,74.00,2000,148000
1766-T,東建コーポ,東証1部,2000.00,2020.00,2000.00,2010.00,5610,11250850
1767-T,沖ウィンテック,東証2部,554.00,554.00,554.00,554.00,2000,1108000
1768-O,ソネック,大証2部,,,,,0,0
1770-J,藤田エンジ,JQ,,,,,0,0
1771-F,日本乾溜,福証,,,,,0,0
1773-T,YTL,東証1部外国,,,,,0,0
1775-T,富士E&C,東証2部,112.00,112.00,112.00,112.00,1000,112000
1776-T,三住道路,東証2部,,,,,0,0
1778-T,古河総設,東証2部,,,,,0,0
1780-T,ヤマウラ,東証1部,149.00,149.00,143.00,143.00,2500,366500
1782-J,常磐開発,JQ,,,,,0,0
1783-J,ACHL,JQ,23.00,23.00,22.00,23.00,53400,1226000
1787-J,ナカボーテック,JQ,,,,,0,0
1788-J,三東工業,JQ,,,,,0,0
1789-J,山加電業,JQ,102.00,102.00,93.00,99.00,1400,138900
1793-J,大本組,JQ,,,,,0,0
1795-J,マサル,JQ,306.00,306.00,301.00,301.00,2000,607000
1798-J,守谷商会,JQ,,,,,0,0
1799-J,第一建設,JQ,650.00,670.00,650.00,670.00,2000,1320000
1801-T,大成建,東証1部,171.00,175.00,170.00,174.00,2567000,441472000
1801-O,大成建,大証1部,,,,,0,0
1802-T,大林組,東証1部,402.00,412.00,398.00,405.00,3249000,1309799000
1802-O,大林組,大証1部,,,,,0,0
1802-F,大林組,福証,,,,,0,0
1803-T,清水建,東証1部,359.00,366.00,357.00,362.00,1156000,418094000
1803-O,清水建,大証1部,,,,,0,0
1805-T,飛島建,東証1部,13.00,14.00,13.00,13.00,735500,9566500
1807-J,佐藤渡辺,JQ,,,,,0,0
1808-T,長谷工,東証1部,34.00,36.00,33.00,35.00,22450000,779194500
1808-O,長谷工,大証1部,,,,,0,0
1810-T,松井建,東証1部,285.00,285.00,285.00,285.00,4000,1140000
1811-O,銭高組,大証1部,,,,,0,0
1812-T,鹿島,東証1部,203.00,205.00,202.00,204.00,984000,200424000
1812-O,鹿島,大証1部,,,,,0,0
1813-T,不動テトラ,東証1部,52.00,52.00,51.00,52.00,196300,10148600
1813-O,不動テトラ,大証1部,,,,,0,0
1814-T,大末建,東証1部,16.00,18.00,16.00,18.00,148000,2519000
1814-O,大末建,大証1部,,,,,0,0
1815-T,鉄建,東証1部,80.00,82.00,80.00,82.00,126000,10182000
1816-T,安藤建,東証1部,122.00,122.00,120.00,120.00,25000,3028000
1819-T,太平工,東証1部,217.00,222.00,217.00,219.00,335000,73569000
1820-T,西松建,東証1部,83.00,88.00,82.00,84.00,3173000,267393000
1821-T,三住建設,東証1部,55.00,56.00,55.00,56.00,54200,2982400
1822-T,大豊建,東証1部,41.00,42.00,40.00,42.00,41000,1674000
1824-T,前田建,東証1部,295.00,299.00,292.00,298.00,325000,96072000
1826-T,佐田建,東証1部,32.00,32.00,30.00,31.00,158000,4930000
1827-T,ナカノフドー,東証1部,116.00,116.00,113.00,113.00,7000,798000
1827-O,ナカノフドー,大証1部,,,,,0,0
1828-T,田辺工,東証2部,597.00,597.00,597.00,597.00,100,59700
1832-S,北海工,札証,,,,,0,0
1833-T,奥村組,東証1部,364.00,366.00,362.00,366.00,213000,77569000
1833-O,奥村組,大証1部,,,,,0,0
1834-T,大和小田,東証1部,188.00,188.00,182.00,182.00,1500,279000
1835-T,東鉄工,東証1部,451.00,452.00,446.00,450.00,33000,14826000
1840-T,土屋HD,東証2部,66.00,66.00,66.00,66.00,100,6600
1840-S,土屋HD,札証,,,,,0,0
1841-J,サンユ建,JQ,380.00,380.00,380.00,380.00,800,304000
1844-T,大盛工業,東証2部,11.00,16.00,9.00,10.00,1098300,12780600
1846-T,鈴縫工,東証2部,,,,,0,0
1847-T,イチケン,東証1部,97.00,99.00,97.00,99.00,6000,585000
1848-O,富士P･S,大証2部,,,,,0,0
1848-F,富士P･S,福証,,,,,0,0
1850-O,南海辰村,大証2部,24.00,24.00,24.00,24.00,19000,456000
1852-T,浅沼組,東証1部,56.00,56.00,55.00,55.00,15000,835000
1852-O,浅沼組,大証1部,,,,,0,0
1853-O,森組,大証2部,23.00,25.00,23.00,25.00,8000,195000
1860-T,戸田建,東証1部,256.00,260.00,252.00,259.00,245000,62799000
1860-O,戸田建,大証1部,,,,,0,0
1861-T,熊谷組,東証1部,36.00,36.00,34.00,35.00,672000,23887000
1865-T,青木あす,東証1部,294.00,305.00,294.00,305.00,12000,3576500
1866-T,北野建,東証1部,228.00,234.00,228.00,234.00,17000,3886000
1867-T,植木組,東証1部,114.00,114.00,114.00,114.00,5000,570000
1868-T,三井ホーム,東証1部,428.00,440.00,418.00,424.00,27000,11616000
1870-T,矢作建,東証1部,496.00,496.00,488.00,488.00,15000,7393000
1871-T,PS三菱,東証1部,230.00,232.00,225.00,229.00,22600,5156900
1872-T,アゼル,東証1部,4.00,5.00,4.00,4.00,110000,445000
1872-O,アゼル,大証1部,,,,,0,0
1873-J,東ハウス,JQ,111.00,111.00,111.00,111.00,15000,1665000
1875-O,青木マ,大証2部,,,,,0,0
1878-T,大東建,東証1部,3050.00,3140.00,3030.00,3090.00,160400,494279000
1879-T,新日建,東証1部,100.00,104.00,96.00,97.00,96100,9550100
1881-T,NIPPO,東証1部,794.00,814.00,784.00,813.00,519000,416541000
1881-S,NIPPO,札証,,,,,0,0
1882-T,東亜道,東証1部,116.00,117.00,113.00,117.00,17000,1962000
1883-T,前田道,東証1部,775.00,780.00,759.00,777.00,161000,124096000
1884-T,日道路,東証1部,210.00,217.00,209.00,216.00,188000,40076000
1885-T,東亜建,東証1部,115.00,118.00,115.00,118.00,35000,4070000
1885-S,東亜建,札証,,,,,0,0
1888-T,若築建,東証1部,19.00,20.00,19.00,19.00,581000,11088000
1889-T,あおみ建,東証1部,,,,,0,0
1890-T,東洋建,東証1部,32.00,32.00,31.00,32.00,161000,5109000
1890-O,東洋建,大証1部,,,,,0,0
1893-T,五洋建,東証1部,117.00,119.00,115.00,117.00,667000,78064000
1893-O,五洋建,大証1部,,,,,0,0
1895-T,大成ロテク,東証1部,119.00,120.00,117.00,119.00,35000,4143000
1896-T,大林道,東証1部,130.00,130.00,129.00,130.00,9000,1169000
1897-O,金下建,大証2部,232.00,232.00,232.00,232.00,11000,2552000
1898-T,世紀東,東証1部,30.00,30.00,28.00,29.00,24000,711000
1899-T,福田組,東証1部,121.00,122.00,115.00,117.00,154000,18318000
1904-J,大成温,JQ,284.00,284.00,284.00,284.00,1000,284000
1905-J,テノックス,JQ,,,,,0,0
1906-J,細田工,JQ,90.00,91.00,90.00,90.00,5200,469200
1907-T,東北ミサワ,東証1部,172.00,176.00,169.00,174.00,34000,5847200
1911-T,住友林,東証1部,553.00,563.00,542.00,547.00,4000,2213500
1911-O,住友林,大証1部,568.00,568.00,536.00,552.00,176500,97569000
1914-T,日基礎,東証1部,158.00,162.00,158.00,160.00,6000,956000
1914-O,日基礎,大証1部,,,,,0,0
1916-T,日ビルド,東証1部,25.00,25.00,24.00,24.00,70000,1722000
1919-T,エスバイエル,東証1部,24.00,25.00,23.00,25.00,74000,1775000
1919-O,エスバイエル,大証1部,,,,,0,0
1921-T,巴コーポ,東証1部,194.00,196.00,191.00,194.00,54700,10580500
1921-S,巴コーポ,札証,,,,,0,0
1924-T,パナホーム,東証1部,506.00,506.00,490.00,498.00,131000,65555000
1924-O,パナホーム,大証1部,,,,,0,0
1925-T,大和ハウス,東証1部,629.00,645.00,622.00,643.00,1122000,709764000
1925-O,大和ハウス,大証1部,,,,,0,0
1926-T,ライト工,東証1部,156.00,159.00,156.00,158.00,7800,1221900
1928-T,積水ハウス,東証1部,641.00,644.00,631.00,637.00,1341000,854227000
1928-O,積水ハウス,大証1部,,,,,0,0
1929-T,日特建,東証1部,33.00,34.00,32.00,34.00,17000,558000
1930-T,北電事,東証1部,320.00,320.00,320.00,320.00,1000,320000
1931-O,日本電通,大証2部,,,,,0,0
