コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,211.00,223.00,211.00,221.00,1199000,258964000
1305-T,ETFTPX,東証,1314.00,1322.00,1314.00,1320.00,24400,32163100
1306-T,TOPIX投,東証,1309.00,1315.00,1307.00,1315.00,541900,710636600
1308-T,上場TPX,東証,1289.00,1296.00,1289.00,1296.00,38000,49121000
1309-O,上証50連,大証,36900.00,37150.00,36550.00,36800.00,13413,493068400
1310-T,ETF･コア30,東証,830.00,832.00,830.00,832.00,2100,1743200
1311-T,TOPIX30,東証,835.00,844.00,835.00,844.00,1600,1339300
1312-O,RN小型コア,大証,,,,,0,0
1313-T,KODEX200,東証,,,,,0,0
1314-T,上場新興,東証,759.00,759.00,757.00,757.00,1000,758600
1316-T,上場大型,東証,,,,,0,0
1317-T,上場中型,東証,,,,,0,0
1318-T,上場小型,東証,,,,,0,0
1319-T,300投信,東証,,,,,0,0
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,13430.00,13480.00,13420.00,13480.00,5630,75741300
1321-O,225投信,大証,13420.00,13470.00,13420.00,13460.00,75220,1011141100
1322-T,上場パンタ,東証,4430.00,4430.00,4380.00,4400.00,1220,5378500
1323-O,南ア40,大証,396.00,396.00,396.00,396.00,5800,2296800
1324-O,RTS連動,大証,238.00,238.00,234.00,236.00,70600,16683400
1325-T,ボベスパ,東証,411.00,414.00,411.00,414.00,7600,3139900
1326-T,SPDRゴール,東証,9780.00,9780.00,9760.00,9770.00,8400,82071500
1328-O,金連動,大証,3130.00,3140.00,3120.00,3120.00,50200,156841500
1329-T,iS225,東証,13440.00,13440.00,13440.00,13440.00,10,134400
1330-T,上場225,東証,13500.00,13540.00,13490.00,13530.00,21190,286473700
1332-T,日水,東証1部,530.00,538.00,523.00,526.00,1968200,1039552400
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,180.00,185.00,180.00,183.00,3282000,599372000
1352-T,ホウスイ,東証1部,157.00,161.00,157.00,158.00,241000,38229000
1376-J,カネコ種,JQ,768.00,771.00,768.00,771.00,6600,5078600
1377-T,サカタのタネ,東証1部,1560.00,1590.00,1560.00,1582.00,68400,107905100
1378-T,雪国マイタケ,東証2部,367.00,372.00,367.00,372.00,2700,995700
1379-T,ホクト,東証1部,2870.00,2905.00,2860.00,2875.00,124700,359485500
1380-J,秋川牧園,JQ,,,,,0,0
1381-J,アクシーズ,JQ,,,,,0,0
1382-J,ホーブ,JQ,,,,,0,0
1400-H,アライヴ,HCグロース,6840.00,6840.00,6180.00,6550.00,398,2596750
1401-F,エムビーエス,福証Q-Board,,,,,0,0
1405-T,サーラ住宅,東証2部,,,,,0,0
1407-J,ウエストHD,JQ,379.00,385.00,378.00,385.00,300,114200
1408-H,サムシングHD,HCグロース,45600.00,45600.00,45600.00,45600.00,1,45600
1412-T,チャイナボーチ,東証1部外国,55200.00,55200.00,52200.00,52800.00,281,15038900
1414-T,ショーボンド,東証1部,1623.00,1633.00,1618.00,1632.00,42600,69252100
1416-O,日本インテ,大証2部,48.00,48.00,47.00,47.00,57000,2698000
1491-T,中外鉱,東証2部,24.00,25.00,24.00,24.00,645200,15672600
1491-O,中外鉱,大証2部,29.00,29.00,29.00,29.00,100,2900
1503-T,住友炭,東証1部,91.00,91.00,90.00,91.00,798000,72421000
1503-O,住友炭,大証1部,,,,,0,0
1515-T,日鉄鉱,東証1部,418.00,418.00,415.00,418.00,118000,49198000
