コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,250.00,257.00,245.00,253.00,3575000,901756000
1305-T,ETFTPX,東証,1124.00,1130.00,1115.00,1126.00,455890,510988550
1306-T,TOPIX投,東証,1122.00,1128.00,1111.00,1121.00,1790580,2005578810
1308-T,上場TPX,東証,1108.00,1115.00,1099.00,1109.00,181900,201143500
1309-O,上証50連,大証,16530.00,17200.00,16520.00,16710.00,7185,119788940
1310-T,ETF･コア30,東証,593.00,593.00,586.00,590.00,2870,1691500
1311-T,TOPIX30,東証,601.00,605.00,595.00,601.00,22990,13774940
1312-O,RN小型コア,大証,11690.00,11720.00,11690.00,11720.00,53,619600
1313-T,KODEX200,東証,1957.00,1957.00,1950.00,1950.00,150,293260
1314-T,上場新興,東証,1049.00,1049.00,1040.00,1040.00,900,942300
1316-T,上場大型,東証,741.00,741.00,721.00,721.00,130,94790
1317-T,上場中型,東証,1176.00,1177.00,1176.00,1177.00,240,282250
1318-T,上場小型,東証,1250.00,1250.00,1211.00,1211.00,1090,1335400
1319-T,300投信,東証,202.00,209.00,202.00,209.00,6000,1230000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,13420.00,13570.00,13290.00,13500.00,46044,617842710
1321-O,225投信,大証,13430.00,13580.00,13300.00,13490.00,223589,3000685890
1322-T,上場パンタ,東証,2590.00,2641.00,2552.00,2641.00,8090,20982020
1323-O,南ア40,大証,314.00,314.00,313.00,313.00,2200,690400
1324-O,RTS連動,大証,111.00,112.00,111.00,111.00,62100,6896100
1325-T,ボベスパ,東証,173.00,174.00,171.00,172.00,125300,21628900
1326-T,SPDRゴール,東証,12110.00,12210.00,12110.00,12200.00,3432,41668690
1327-T,EASY商品,東証,4150.00,4215.00,4145.00,4215.00,231,958590
1328-O,金連動,大証,3595.00,3660.00,3595.00,3625.00,4880,17653550
1329-T,iS225,東証,13300.00,13430.00,13200.00,13390.00,2540,33905000
1330-T,上場225,東証,13480.00,13630.00,13350.00,13530.00,214390,2886207700
1332-T,日水,東証1部,188.00,190.00,188.00,189.00,403400,76112700
1332-O,日水,大証1部,188.00,188.00,188.00,188.00,100,18800
1334-T,マルハニチロHD,東証1部,195.00,197.00,194.00,197.00,860000,167996000
1343-T,REIT-ETF,東証,1356.00,1363.00,1352.00,1354.00,43790,59348460
1344-T,MXSコア30,東証,589.00,589.00,582.00,589.00,2340,1367680
1345-T,上場Jリート,東証,1300.00,1302.00,1292.00,1295.00,28200,36591200
1346-O,MXS225,大証,13410.00,13570.00,13280.00,13470.00,20725,277523160
1347-T,上場グリチ,東証,,,,,0,0
1348-T,MXSトピクス,東証,1111.00,1120.00,1103.00,1115.00,16230,18061890
1349-T,アジア債券,東証,12120.00,12120.00,12090.00,12090.00,87,1053380
1352-T,ホウスイ,東証1部,118.00,118.00,116.00,117.00,17000,1989000
1376-J,カネコ種,JQスタンダード,812.00,814.00,810.00,814.00,4500,3655200
1377-T,サカタのタネ,東証1部,1321.00,1334.00,1315.00,1328.00,30900,40903600
1378-T,雪国マイタケ,東証2部,235.00,235.00,229.00,230.00,26400,6107200
1379-T,ホクト,東証1部,1690.00,1713.00,1690.00,1695.00,49900,84874900
1380-J,秋川牧園,JQスタンダード,,,,,0,0
1381-J,アクシーズ,JQスタンダード,860.00,860.00,860.00,860.00,2100,1806000
1382-J,ホーブ,JQスタンダード,92500.00,94000.00,92500.00,94000.00,5,468400
1383-J,ベルグアース,JQスタンダード,1440.00,1450.00,1430.00,1440.00,2400,3443900
1400-J,ルーデン,JQグロース,13520.00,13520.00,12600.00,13310.00,112,1476030
1401-F,エムビーエス,福証Q-Board,1030.00,1030.00,1030.00,1030.00,100,103000
1405-T,サーラ住宅,東証2部,774.00,780.00,772.00,780.00,2300,1784200
1407-J,ウエストHD,JQスタンダード,2924.00,2935.00,2820.00,2855.00,116000,331809100
1408-J,サムシングHD,JQグロース,80100.00,80100.00,77400.00,79000.00,33,2597700
1414-T,ショーボンド,東証1部,3980.00,3995.00,3920.00,3960.00,56800,224985000
1417-T,ミライトHD,東証1部,907.00,907.00,884.00,891.00,61900,55249200
1417-O,ミライトHD,大証1部,,,,,0,0
1418-J,インターライフ,JQスタンダード,180.00,180.00,172.00,175.00,16100,2820500
1419-T,タマホーム,東証1部,1050.00,1280.00,1040.00,1156.00,877200,1012790500
1419-F,タマホーム,福証,,,,,0,0
1420-T,サンヨーH,東証2部,808.00,809.00,782.00,809.00,34200,27427500
1491-T,中外鉱,東証2部,28.00,29.00,27.00,28.00,402200,11242400
1491-O,中外鉱,大証2部,28.00,28.00,28.00,28.00,1200,33600
1514-T,住石HD,東証1部,127.00,127.00,120.00,122.00,932600,115374200
1515-T,日鉄鉱,東証1部,377.00,377.00,365.00,367.00,76000,28291000
1518-T,三井松,東証1部,137.00,137.00,135.00,136.00,845000,115110000
1518-F,三井松,福証,,,,,0,0
1540-T,純金信託,東証,4000.00,4020.00,3985.00,4005.00,34250,136982570
1541-T,純プラ信,東証,4110.00,4160.00,4100.00,4155.00,4103,16894165
1542-T,純銀信託,東証,6320.00,6320.00,6210.00,6260.00,2494,15640380
1543-T,純パラ信,東証,20020.00,20280.00,20020.00,20250.00,99,1993350
1544-T,上場MSジ,東証,698.00,698.00,698.00,698.00,60,41880
1545-O,NASDAQ投,大証,2830.00,2830.00,2808.00,2820.00,720,2034610
1546-O,NYダウ30,大証,14000.00,14040.00,14000.00,14010.00,703,9843200
1547-T,上場米国,東証,1668.00,1700.00,1656.00,1664.00,1910,3195040
1548-T,上場チャイナ,東証,821.00,842.00,819.00,830.00,3440,2847020
1549-T,上場インド,東証,928.00,935.00,928.00,935.00,1930,1793330
1550-T,MXS外株,東証,1340.00,1348.00,1330.00,1336.00,4920,6581310
1551-O,JASDAQ20,大証,7720.00,7720.00,7500.00,7610.00,4060,30978100
1552-O,VIX短期,大証,2187.00,2245.00,2181.00,2220.00,243919,541538486
1554-T,上場MS世,東証,1248.00,1248.00,1230.00,1240.00,7210,8935580
1555-T,上場Aリート,東証,1220.00,1230.00,1220.00,1228.00,10630,13006700
1556-T,上場日中,東証,1100.00,1138.00,1100.00,1138.00,970,1081370
1557-T,SPDR500,東証,15590.00,15950.00,15520.00,15520.00,1275,19900060
1559-T,タイSET50,東証,2705.00,2745.00,2680.00,2700.00,1103,2992462
1560-T,ブルサKLCI,東証,5290.00,5340.00,5270.00,5340.00,249,1320790
1561-O,VIX中期,大証,56800.00,56900.00,55600.00,56700.00,17,960700
1562-T,YMアジ日,東証,,,,,0,0
1563-T,マザーズコア,東証,1462.00,1499.00,1452.00,1479.00,4479,6562860
1565-T,日経カバコ,東証,12870.00,12950.00,12830.00,12950.00,23,295860
1566-T,上場EM債,東証,60600.00,60800.00,60500.00,60800.00,98,5940200
1567-T,MXSリスク5,東証,,,,,0,0
1568-T,TPX2倍,東証,16300.00,16550.00,16050.00,16360.00,104180,1697315700
1569-T,TPX-1倍,東証,6970.00,7020.00,6910.00,6940.00,42690,297075100
1570-O,日経レバ,大証,7770.00,7950.00,7620.00,7860.00,3456650,26849900330
1571-O,日経インバ,大証,3925.00,3965.00,3880.00,3900.00,180872,710391330
1572-T,H株ブル,東証,7890.00,8220.00,7860.00,8220.00,4680,36973000
1573-T,H株ベア,東証,14620.00,14660.00,14010.00,14270.00,5620,81520700
1574-T,MXSリスク10,東証,,,,,0,0
1575-T,中国A300,東証,350.00,358.00,344.00,344.00,1920,670670
1576-T,南方A50,東証,338.00,340.00,320.00,320.00,2780,928640
1577-T,高配当70,東証,16000.00,16100.00,15800.00,16060.00,646,10313910
1578-T,上場225M,東証,1080.00,1087.00,1062.00,1087.00,2842,3068692
1579-T,日経2倍,東証,8140.00,8340.00,8000.00,8220.00,58920,480586000
1580-T,日経-1倍,東証,10590.00,10670.00,10480.00,10540.00,14110,149130100
1605-T,国際帝石,東証1部,403500.00,408500.00,402500.00,404000.00,7340,2977297500
1606-T,海洋掘削,東証1部,7580.00,7680.00,7410.00,7450.00,203600,1529164000
1610-T,ETF･電機,東証,,,,,0,0
1612-T,ETF･銀行,東証,161.00,161.00,160.00,161.00,7600,1222500
1613-T,電機,東証,1292.00,1305.00,1292.00,1305.00,100,129590
1615-T,銀行,東証,168.00,170.00,168.00,169.00,463900,78103400
1617-T,食品,東証,,,,,0,0
1618-T,エネ資源,東証,11160.00,11250.00,11160.00,11250.00,58,649530
1619-T,建設資材,東証,15170.00,15170.00,15150.00,15150.00,8,121220
1620-T,素材化学,東証,12400.00,12400.00,12400.00,12400.00,1,12400
1621-T,医薬品,東証,13260.00,13260.00,13180.00,13180.00,14,184840
1622-T,自動車,東証,18300.00,18450.00,18300.00,18450.00,253,4630710
1623-T,鉄鋼非鉄,東証,,,,,0,0
1624-T,機械,東証,21880.00,21880.00,21880.00,21880.00,15,328200
1625-T,電機精密,東証,10200.00,10200.00,10200.00,10200.00,9,91800
1626-T,情通サ他,東証,11610.00,11610.00,11550.00,11600.00,12,139240
1627-T,電力ガス,東証,7510.00,7510.00,7370.00,7490.00,629,4679100
1628-T,運輸物流,東証,11890.00,11890.00,11880.00,11880.00,80,950900
1629-T,商社卸売,東証,20810.00,20870.00,20650.00,20870.00,162,3354920
1630-T,小売,東証,,,,,0,0
1631-T,銀行・17,東証,10010.00,10100.00,10010.00,10100.00,48,480670
1632-T,金融,東証,10100.00,10190.00,10080.00,10190.00,4155,42076030
1633-T,不動産,東証,27370.00,27600.00,27260.00,27600.00,83,2277950
1634-T,ダイワ食品,東証,20100.00,20100.00,20100.00,20100.00,10,201000
1635-T,ダイワエネ,東証,,,,,0,0
1636-T,ダイワ建設,東証,,,,,0,0
1637-T,ダイワ素材,東証,,,,,0,0
1638-T,ダイワ医薬,東証,,,,,0,0
1639-T,ダイワ自動,東証,,,,,0,0
1640-T,ダイワ鉄鋼,東証,,,,,0,0
1641-T,ダイワ機械,東証,,,,,0,0
1642-T,ダイワ電機,東証,,,,,0,0
1643-T,ダイワ情報,東証,,,,,0,0
1644-T,ダイワ電力,東証,,,,,0,0
1645-T,ダイワ運輸,東証,12030.00,12030.00,12030.00,12030.00,90,1082700
1646-T,ダイワ商社,東証,22690.00,22690.00,22690.00,22690.00,3,68070
1647-T,ダイワ小売,東証,,,,,0,0
1648-T,ダイワ銀行,東証,10520.00,10520.00,10520.00,10520.00,1,10520
1649-T,ダイワ金融,東証,,,,,0,0
1650-T,ダイワ不動,東証,28800.00,28800.00,28800.00,28800.00,1,28800
1661-T,ガス開,東証1部,660.00,660.00,650.00,657.00,29000,19062000
1662-T,石油資源,東証1部,4060.00,4095.00,3985.00,3985.00,77300,312182000
1670-T,MXS三菱,東証,115.00,116.00,114.00,114.00,300,34500
1671-O,WTI原油,大証,5650.00,5710.00,5650.00,5710.00,1639,9312420
1672-T,金ETF,東証,,,,,0,0
1673-T,銀ETF,東証,1900.00,1900.00,1900.00,1900.00,40,76000
1674-T,プラチナETF,東証,,,,,0,0
1675-T,パラジETF,東証,,,,,0,0
1676-T,キンゾクETF,東証,,,,,0,0
1677-T,上場外債,東証,49050.00,49500.00,49000.00,49000.00,320,15700000
1678-T,インドNIF,東証,86.00,87.00,85.00,86.00,92700,7937900
1679-T,NYダウ,東証,13900.00,13900.00,13820.00,13880.00,110,1527500
1680-T,上場MSコク,東証,1401.00,1407.00,1400.00,1407.00,6630,9290480
1681-T,上場MSエマ,東証,1051.00,1085.00,1050.00,1072.00,26460,28003200
1682-O,白金先物,大証,244.00,244.00,242.00,242.00,1100,268200
1683-O,金先物,大証,,,,,0,0
1684-T,商品ETF,東証,,,,,0,0
1685-T,エナジーETF,東証,,,,,0,0
1686-T,メタルETF,東証,,,,,0,0
1687-T,アグリETF,東証,720.00,720.00,720.00,720.00,110,79200
1688-T,穀物ETF,東証,,,,,0,0
1689-T,ガスETF,東証,12.00,12.00,12.00,12.00,1100,13200
1690-T,原油ETF,東証,,,,,0,0
1691-T,ガソリンETF,東証,,,,,0,0
1692-T,アルミETF,東証,,,,,0,0
1693-T,銅ETF,東証,,,,,0,0
1694-T,ニッケルETF,東証,,,,,0,0
1695-T,小麦ETF,東証,153.00,153.00,153.00,153.00,1900,290700
1696-T,コーンETF,東証,,,,,0,0
1697-T,大豆ETF,東証,,,,,0,0
1698-T,上場配当,東証,1199.00,1199.00,1192.00,1199.00,1330,1594200
1699-T,野村原油,東証,949.00,949.00,944.00,944.00,3010,2841490
1711-T,省電舎,東証マザーズ,91800.00,93000.00,91800.00,92000.00,6,553100
1712-T,ダイセキソリュ,東証1部,130000.00,130000.00,128700.00,129000.00,12,1554000
1716-J,第一カッター,JQスタンダード,757.00,757.00,757.00,757.00,300,227100
1717-J,明豊ファシリ,JQスタンダード,157.00,161.00,157.00,161.00,18600,2949900
1718-J,美樹工業,JQスタンダード,303.00,305.00,303.00,305.00,7000,2128000
1719-T,安藤ハザマ,東証1部,212.00,216.00,211.00,212.00,488800,103932700
1720-T,東急建設,東証1部,236.00,236.00,228.00,228.00,153110,35601530
1721-T,コムシスHD,東証1部,1235.00,1247.00,1202.00,1228.00,306300,375325500
1721-O,コムシスHD,大証1部,,,,,0,0
1722-T,MISAWA,東証1部,1658.00,1718.00,1658.00,1700.00,160700,271332900
1722-O,MISAWA,大証1部,,,,,0,0
1723-J,日本電技,JQスタンダード,762.00,762.00,743.00,750.00,6700,5093900
1724-J,シンクレイヤ,JQスタンダード,679.00,679.00,613.00,638.00,18700,12148200
1726-T,BRHD,東証2部,220.00,220.00,220.00,220.00,1000,220000
1728-J,ミサワ中国,JQスタンダード,,,,,0,0
1730-J,麻生フオーム,JQスタンダード,323.00,323.00,295.00,295.00,7000,2147000
1734-S,北弘電社,札証,190.00,190.00,190.00,190.00,1000,190000
1736-J,オーテック,JQスタンダード,627.00,627.00,620.00,620.00,400,249000
1737-T,三井エンジ,東証2部,,,,,0,0
1739-J,SEED,JQグロース,42000.00,42000.00,42000.00,42000.00,2,84000
1743-O,コーアツ工業,大証2部,189.00,189.00,189.00,189.00,2000,378000
1743-F,コーアツ工業,福証,,,,,0,0
1757-O,クレアHD,大証2部,55.00,56.00,54.00,55.00,179400,9799000
1758-J,太洋基礎,JQスタンダード,510.00,510.00,510.00,510.00,1000,510000
1762-T,高松G,東証1部,1601.00,1614.00,1596.00,1608.00,10200,16363000
1762-O,高松G,大証1部,,,,,0,0
1764-T,工藤建設,東証2部,160.00,164.00,155.00,164.00,6000,965000
1766-T,東建コーポ,東証1部,5410.00,5420.00,5230.00,5300.00,23640,125468900
1768-O,ソネック,大証2部,274.00,274.00,274.00,274.00,1000,274000
1770-J,藤田エンジ,JQスタンダード,403.00,403.00,403.00,403.00,2000,806000
1771-F,日本乾溜,福証,225.00,225.00,225.00,225.00,1000,225000
1773-T,YTL,東証1部外国,,,,,0,0
1775-T,FFE&C,東証2部,229.00,232.00,229.00,232.00,4000,919000
1776-T,三住道路,東証2部,206.00,206.00,200.00,201.00,13000,2626000
1780-T,ヤマウラ,東証1部,284.00,295.00,276.00,285.00,11000,3114000
1782-J,常磐開発,JQスタンダード,216.00,216.00,216.00,216.00,1000,216000
1783-J,ACHL,JQスタンダード,95.00,95.00,89.00,90.00,321300,29466800
1787-J,ナカボーテック,JQスタンダード,,,,,0,0
1788-J,三東工業,JQスタンダード,120.00,123.00,120.00,123.00,5000,603000
1789-J,山加電業,JQスタンダード,192.00,192.00,192.00,192.00,900,172800
1793-J,大本組,JQスタンダード,396.00,396.00,396.00,396.00,8000,3168000
1795-J,マサル,JQスタンダード,295.00,295.00,295.00,295.00,1000,295000
1798-J,守谷商会,JQスタンダード,173.00,173.00,173.00,173.00,1000,173000
1799-J,第一建設,JQスタンダード,965.00,965.00,941.00,943.00,2400,2291400
1801-T,大成建,東証1部,357.00,365.00,350.00,362.00,9229000,3282736000
