コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,184.00,184.00,182.00,183.00,38000,6949000
1305-T,ETFTPX,東証,887.00,887.00,879.00,880.00,22100,19493400
1306-T,TOPIX投,東証,891.00,892.00,884.00,887.00,531720,472536890
1308-T,上場TPX,東証,871.00,871.00,863.00,865.00,97200,84145300
1309-O,上証50連,大証,24290.00,24290.00,24000.00,24000.00,1740,42038070
1310-T,ETF･コア30,東証,477.00,477.00,477.00,477.00,100,47700
1311-T,TOPIX30,東証,486.00,486.00,482.00,483.00,7920,3845420
1312-O,RN小型コア,大証,9090.00,9090.00,9090.00,9090.00,1,9090
1313-T,KODEX200,東証,1778.00,1778.00,1701.00,1735.00,70,121690
1314-T,上場新興,東証,560.00,560.00,559.00,559.00,500,279900
1316-T,上場大型,東証,624.00,624.00,618.00,618.00,1020,636420
1317-T,上場中型,東証,,,,,0,0
1318-T,上場小型,東証,,,,,0,0
1319-T,300投信,東証,149.00,149.00,149.00,149.00,1000,149000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,9880.00,9890.00,9790.00,9820.00,35120,344976100
1321-O,225投信,大証,9930.00,9940.00,9860.00,9880.00,98397,975230320
1322-T,上場パンタ,東証,3630.00,3630.00,3615.00,3615.00,1490,5403050
1323-O,南ア40,大証,293.00,293.00,285.00,285.00,7000,2046300
1324-O,RTS連動,大証,136.00,136.00,132.00,133.00,54000,7264900
1325-T,ボベスパ,東証,288.00,288.00,285.00,286.00,81600,23387000
1326-T,SPDRゴール,東証,10980.00,11010.00,10980.00,11000.00,4980,54772300
1327-T,EASY商品,東証,3650.00,3660.00,3650.00,3660.00,50,182565
1328-O,金連動,大証,3310.00,3315.00,3305.00,3315.00,5790,19173000
1329-T,iS225,東証,9900.00,9900.00,9810.00,9810.00,830,8166900
