コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,220.00,226.00,219.00,225.00,886000,197123000
1305-T,ETFTPX,東証,1431.00,1442.00,1429.00,1441.00,66000,94798400
1306-T,TOPIX投,東証,1426.00,1432.00,1419.00,1430.00,1308000,1865095400
1308-T,上場TPX,東証,1420.00,1429.00,1419.00,1429.00,57000,81238000
1309-O,上証50連,大証,41500.00,42000.00,41500.00,41900.00,1366,56832750
1310-T,ETF･コア30,東証,908.00,913.00,907.00,907.00,5800,5269500
1311-T,TOPIX30,東証,929.00,929.00,913.00,916.00,55200,50712700
1312-O,RN小型コア,大証,11950.00,12330.00,11950.00,12190.00,550,6629300
1313-T,KODEX200,東証,,,,,0,0
1314-T,上場新興,東証,891.00,891.00,891.00,891.00,2000,1782000
1316-T,上場大型,東証,1037.00,1037.00,1037.00,1037.00,100,103700
1317-T,上場中型,東証,,,,,0,0
1318-T,上場小型,東証,,,,,0,0
1319-T,300投信,東証,282.00,282.00,277.00,277.00,6000,1667000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,14440.00,14540.00,14420.00,14530.00,12860,185982900
1321-O,225投信,大証,14390.00,14490.00,14360.00,14470.00,300930,4340252400
1322-T,上場パンタ,東証,5010.00,5050.00,5000.00,5010.00,4020,20129000
1328-O,金連動,大証,3010.00,3010.00,2980.00,2990.00,42240,126770300
1329-T,iS225,東証,14260.00,14320.00,14230.00,14310.00,320,4571300
1330-T,上場225,東証,14500.00,14590.00,14480.00,14590.00,81950,1190089000
1332-T,日水,東証1部,451.00,457.00,448.00,454.00,767300,347244200
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,197.00,203.00,196.00,203.00,3681000,734611000
1352-T,ホウスイ,東証1部,154.00,158.00,153.00,157.00,162000,25193000
1376-J,カネコ種,JQ,796.00,847.00,796.00,823.00,55700,45728900
1377-T,サカタのタネ,東証1部,1643.00,1748.00,1636.00,1712.00,123100,209111000
1378-T,雪国マイタケ,東証2部,358.00,362.00,357.00,359.00,12200,4368100
1379-T,ホクト,東証1部,2185.00,2245.00,2185.00,2230.00,54700,121063500
1380-J,秋川牧園,JQ,,,,,0,0
1381-J,アクシーズ,JQ,,,,,0,0
1382-J,ホーブ,JQ,,,,,0,0
1400-H,アライヴ,HCグロース,21150.00,21550.00,20800.00,21150.00,184,3877660
1401-F,エムビーエス,福証Q-Board,,,,,0,0
1405-T,サーラ住宅,東証2部,464.00,469.00,464.00,469.00,1800,835700
1407-J,ウエストHD,JQ,404.00,408.00,404.00,408.00,300,121900
1408-H,サムシングHD,HCグロース,64900.00,64900.00,64900.00,64900.00,10,649000
1412-T,チャイナボーチ,東証1部外国,100000.00,102000.00,99900.00,102000.00,417,41892400
1414-T,ショーボンド,東証1部,1351.00,1417.00,1351.00,1416.00,47000,65328700
1491-T,中外鉱,東証2部,33.00,34.00,32.00,34.00,463600,15287800
1491-O,中外鉱,大証2部,32.00,32.00,32.00,32.00,200,6400
1503-T,住友炭,東証1部,133.00,138.00,133.00,138.00,17698000,2408199000
1503-O,住友炭,大証1部,,,,,0,0
1515-T,日鉄鉱,東証1部,500.00,501.00,493.00,500.00,275000,136762000
1518-T,三井松,東証1部,379.00,396.00,377.00,393.00,9096000,3533675000
1518-F,三井松,福証,,,,,0,0
1605-T,国際帝石,東証1部,1360000.00,1370000.00,1340000.00,1340000.00,3461,4689340000
1610-T,ETF･電機,東証,2005.00,2005.00,2005.00,2005.00,100,200500
1612-T,ETF･銀行,東証,318.00,318.00,316.00,316.00,2000,634000
1613-T,電機,東証,1995.00,2020.00,1995.00,2000.00,800,1604500
1615-T,銀行,東証,312.00,315.00,311.00,312.00,738500,231022600
1617-T,食品,東証,17740.00,17740.00,17740.00,17740.00,50,887000
1618-T,エネ資源,東証,20780.00,20870.00,20640.00,20740.00,450,9346400
1619-T,建設資材,東証,,,,,0,0
1620-T,素材化学,東証,,,,,0,0
1621-T,医薬品,東証,14370.00,14370.00,13900.00,14000.00,220,3098900
1622-T,自動車,東証,17450.00,17450.00,17450.00,17450.00,10,174500
1623-T,鉄鋼非鉄,東証,40850.00,40850.00,39150.00,39150.00,100,4002000
1624-T,機械,東証,27220.00,27220.00,27220.00,27220.00,10,272200
1625-T,電機精密,東証,15500.00,15500.00,15500.00,15500.00,30,465000
1626-T,情通サ他,東証,,,,,0,0
1627-T,電力ガス,東証,13000.00,13000.00,12770.00,12770.00,60,773700
1628-T,運輸物流,東証,,,,,0,0
1629-T,商社卸売,東証,33800.00,33800.00,33800.00,33800.00,10,338000
1630-T,小売,東証,,,,,0,0
1631-T,銀行・17,東証,,,,,0,0
1632-T,金融,東証,,,,,0,0
1633-T,不動産,東証,,,,,0,0
1661-T,ガス開,東証1部,755.00,775.00,753.00,770.00,92000,70307000
1662-T,石油資源,東証1部,7390.00,7450.00,7340.00,7410.00,164200,1215151000
1701-T,昭和KDE,東証2部,142.00,143.00,142.00,143.00,28000,3978000
1710-O,ジェイオーHD,大証2部,,,,,0,0
1711-T,省電舎,東証マザーズ,315000.00,315000.00,315000.00,315000.00,1,315000
1712-T,ダイセキソリュ,東証1部,268000.00,271000.00,265000.00,271000.00,118,31616000
1716-J,第一カッター,JQ,877.00,888.00,877.00,888.00,1000,879600
1717-J,明豊ファシリ,JQ,138.00,138.00,138.00,138.00,8800,1214400
1718-J,美樹工業,JQ,224.00,224.00,224.00,224.00,3000,672000
1719-T,ハザマ,東証1部,112.00,116.00,111.00,115.00,82300,9283500
1720-T,東急建設,東証1部,367.00,369.00,365.00,367.00,65860,24162000
1721-T,コムシスHD,東証1部,940.00,942.00,921.00,942.00,544000,507823000
1721-O,コムシスHD,大証1部,,,,,0,0
1722-T,MISAWA,東証1部,651.00,663.00,650.00,663.00,111300,73079800
1722-O,MISAWA,大証1部,,,,,0,0
1723-J,日本電技,JQ,980.00,999.00,978.00,981.00,4900,4810200
1724-J,シンクレイヤ,JQ,,,,,0,0
1725-T,フジタ,東証2部,240.00,241.00,239.00,240.00,2800,671600
1726-T,BRHD,東証2部,128.00,128.00,128.00,128.00,1000,128000
1728-J,ミサワ中国,JQ,255.00,255.00,255.00,255.00,3000,765000
1729-H,三光ソフラン,HCグロース,66.00,66.00,66.00,66.00,64000,4224000
1730-J,麻生フオーム,JQ,,,,,0,0
1734-S,北弘電社,札証,115.00,115.00,115.00,115.00,1000,115000
1735-J,伊田テクノス,JQ,,,,,0,0
1736-J,オーテック,JQ,677.00,677.00,677.00,677.00,1000,677000
1737-T,三井エンジ,東証2部,601.00,601.00,601.00,601.00,1000,601000
1739-H,SEED,HCグロース,73300.00,73300.00,73300.00,73300.00,4,293200
1742-T,セコムテクノ,東証2部,3020.00,3020.00,2950.00,2950.00,6000,18030000
1743-O,コーアツ工業,大証2部,,,,,0,0
1743-F,コーアツ工業,福証,,,,,0,0
1744-J,キョーエイ,JQ,,,,,0,0
1750-O,カナック,大証2部,,,,,0,0
1751-J,日立プラサ,JQ,720.00,720.00,720.00,720.00,300,216000
1753-J,土屋ツバイ,JQ,92000.00,92000.00,90100.00,90100.00,3,273800
1754-J,東新住建,JQ,441.00,443.00,438.00,443.00,4800,2115100
1756-J,和興エンジ,JQ,,,,,0,0
1757-O,東邦グロ,大証2部,106.00,109.00,102.00,105.00,1402880,148378910
1758-J,太洋基礎,JQ,340.00,340.00,340.00,340.00,2000,680000
1761-S,ミサワ北海,札証,,,,,0,0
