コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,178.00,178.00,176.00,177.00,51000,9029000
1305-T,ETFTPX,東証,733.00,733.00,729.00,729.00,159190,116323760
1306-T,TOPIX投,東証,731.00,731.00,726.00,729.00,1112050,809645110
1308-T,上場TPX,東証,721.00,721.00,717.00,717.00,151700,108921400
1309-O,上証50連,大証,17300.00,17390.00,17300.00,17320.00,1413,24504280
1310-T,ETF･コア30,東証,379.00,380.00,374.00,380.00,1550,586470
1311-T,TOPIX30,東証,387.00,387.00,383.00,383.00,3360,1290560
1312-O,RN小型コア,大証,7960.00,7960.00,7940.00,7950.00,28,222630
1313-T,KODEX200,東証,1618.00,1618.00,1618.00,1618.00,10,16180
1314-T,上場新興,東証,,,,,0,0
1316-T,上場大型,東証,,,,,0,0
1317-T,上場中型,東証,,,,,0,0
1318-T,上場小型,東証,,,,,0,0
1319-T,300投信,東証,135.00,135.00,135.00,135.00,4000,540000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,8660.00,8660.00,8610.00,8610.00,31969,275649100
1321-O,225投信,大証,8680.00,8680.00,8630.00,8640.00,227581,1968318540
1322-T,上場パンタ,東証,2562.00,2599.00,2558.00,2558.00,620,1592090
1323-O,南ア40,大証,,,,,0,0
1324-O,RTS連動,大証,102.00,102.00,100.00,100.00,27600,2799300
1325-T,ボベスパ,東証,191.00,191.00,189.00,189.00,117700,22375800
1326-T,SPDRゴール,東証,11860.00,11890.00,11830.00,11890.00,2569,30476560
1327-T,EASY商品,東証,3510.00,3510.00,3505.00,3510.00,31,108805
1328-O,金連動,大証,3570.00,3635.00,3565.00,3575.00,27720,99460800
1329-T,iS225,東証,8600.00,8620.00,8570.00,8600.00,1390,11942900
1330-T,上場225,東証,8700.00,8700.00,8650.00,8680.00,71320,618201400
1332-T,日水,東証1部,217.00,217.00,215.00,215.00,575600,124314700
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,117.00,117.00,116.00,116.00,424000,49340000
1343-T,REIT-ETF,東証,967.00,967.00,953.00,955.00,14620,14018670
1344-T,MXSコア30,東証,379.00,379.00,378.00,379.00,300,113480
1345-T,上場Jリート,東証,930.00,930.00,918.00,918.00,10400,9596300
1346-O,MXS225,大証,8670.00,8670.00,8620.00,8630.00,3728,32173580
1347-T,上場グリチ,東証,,,,,0,0
1348-T,MXSトピクス,東証,727.00,727.00,722.00,724.00,16080,11633800
1349-T,アジア債券,東証,9830.00,9830.00,9770.00,9810.00,66,646920
1352-T,ホウスイ,東証1部,97.00,98.00,96.00,98.00,5000,487000
1376-J,カネコ種,JQスタンダード,665.00,665.00,648.00,650.00,3800,2472900
1377-T,サカタのタネ,東証1部,1053.00,1053.00,1047.00,1052.00,12200,12810100
1378-T,雪国マイタケ,東証2部,273.00,273.00,273.00,273.00,600,163800
1379-T,ホクト,東証1部,1667.00,1678.00,1659.00,1666.00,33500,55852300
1380-J,秋川牧園,JQスタンダード,,,,,0,0
1381-J,アクシーズ,JQスタンダード,,,,,0,0
1382-J,ホーブ,JQスタンダード,,,,,0,0
1383-J,ベルグアース,JQスタンダード,1160.00,1180.00,1155.00,1177.00,4300,5033600
1400-J,ルーデン,JQグロース,8110.00,8300.00,8100.00,8300.00,18,146680
1401-F,エムビーエス,福証Q-Board,,,,,0,0
1405-T,サーラ住宅,東証2部,537.00,537.00,520.00,525.00,5400,2848000
1407-J,ウエストHD,JQスタンダード,1167.00,1170.00,1088.00,1088.00,302300,339547900
1408-J,サムシングHD,JQグロース,121100.00,121100.00,120200.00,120200.00,51,6148800
1412-T,チャイナボーチ,東証1部外国,3020.00,3070.00,2980.00,3050.00,197,594469
1414-T,ショーボンド,東証1部,2051.00,2051.00,2032.00,2044.00,38700,79015800
1417-T,ミライトHD,東証1部,530.00,531.00,524.00,526.00,39200,20676700
1417-O,ミライトHD,大証1部,,,,,0,0
1418-J,インターライフ,JQスタンダード,102.00,102.00,95.00,96.00,108800,10669500
1491-T,中外鉱,東証2部,17.00,17.00,16.00,17.00,219000,3696800
1491-O,中外鉱,大証2部,,,,,0,0
1514-T,住石HD,東証1部,75.00,76.00,73.00,76.00,245600,18201400
1515-T,日鉄鉱,東証1部,306.00,306.00,301.00,302.00,71000,21468000
1518-T,三井松,東証1部,128.00,129.00,127.00,128.00,485000,61989000
1518-F,三井松,福証,,,,,0,0
1540-T,純金信託,東証,3910.00,3920.00,3900.00,3920.00,17873,69864775
1541-T,純プラ信,東証,3515.00,3515.00,3500.00,3510.00,3267,11459180
1542-T,純銀信託,東証,7010.00,7010.00,6960.00,6980.00,737,5142990
1543-T,純パラ信,東証,15240.00,15310.00,15060.00,15120.00,143,2171390
1544-T,上場MSジ,東証,,,,,0,0
1545-O,NASDAQ投,大証,1995.00,1995.00,1990.00,1990.00,750,1496100
1546-O,NYダウ30,大証,9840.00,9840.00,9790.00,9810.00,516,5063500
1547-T,上場米国,東証,1106.00,1106.00,1101.00,1101.00,40,44140
1548-T,上場チャイナ,東証,699.00,699.00,696.00,696.00,20,13950
1549-T,上場インド,東証,719.00,719.00,714.00,714.00,710,509380
1550-T,MXS外株,東証,918.00,919.00,915.00,919.00,1930,1772180
1551-O,JASDAQ20,大証,1060.00,1060.00,1051.00,1051.00,70,73770
1552-O,VIX短期,大証,6510.00,6630.00,6510.00,6580.00,55365,364269570
1554-T,上場MS世,東証,850.00,859.00,848.00,852.00,2410,2048110
1555-T,上場Aリート,東証,899.00,900.00,899.00,899.00,1680,1510330
1556-T,上場日中,東証,830.00,830.00,830.00,830.00,60,49800
1557-T,SPDR500,東証,10280.00,10350.00,10280.00,10290.00,42,433210
1559-T,タイSET50,東証,1910.00,1910.00,1882.00,1882.00,256,485477
1560-T,ブルサKLCI,東証,3950.00,3950.00,3930.00,3930.00,4,15770
1561-O,VIX中期,大証,99400.00,99400.00,99400.00,99400.00,1,99400
1562-T,YMアジ日,東証,,,,,0,0
1563-T,マザーズコア,東証,726.00,726.00,694.00,694.00,733,517347
1565-T,日経カバコ,東証,,,,,0,0
1566-T,上場EM債,東証,50300.00,50300.00,49900.00,49900.00,46,2297200
1567-T,MXSリスク5,東証,953.00,953.00,953.00,953.00,10,9530
1568-T,TPX2倍,東証,7200.00,7200.00,7110.00,7160.00,20910,149382600
1569-T,TPX-1倍,東証,11680.00,11740.00,11680.00,11720.00,4530,53100300
1570-O,日経レバ,大証,3405.00,3410.00,3370.00,3375.00,122711,415648405
1571-O,日経インバ,大証,6650.00,6680.00,6650.00,6680.00,26246,174938920
1605-T,国際帝石,東証1部,442500.00,443500.00,435500.00,439500.00,8867,3897075000
