コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,184.00,185.00,183.00,183.00,58000,10654000
1305-T,ETFTPX,東証,926.00,929.00,925.00,926.00,70200,65042900
1306-T,TOPIX投,東証,932.00,935.00,929.00,931.00,719830,670570600
1308-T,上場TPX,東証,911.00,914.00,909.00,910.00,85500,77967100
1309-O,上証50連,大証,30950.00,31100.00,30800.00,30900.00,6794,210345700
1310-T,ETF･コア30,東証,524.00,524.00,524.00,524.00,100,52400
1311-T,TOPIX30,東証,527.00,528.00,525.00,525.00,990,521530
1312-O,RN小型コア,大証,8930.00,8990.00,8930.00,8990.00,2,17920
1313-T,KODEX200,東証,1732.00,1740.00,1727.00,1740.00,750,1303260
1314-T,上場新興,東証,579.00,579.00,579.00,579.00,700,405300
1316-T,上場大型,東証,648.00,659.00,648.00,659.00,30,19550
1317-T,上場中型,東証,956.00,956.00,956.00,956.00,10,9560
1318-T,上場小型,東証,922.00,922.00,922.00,922.00,10,9220
1319-T,300投信,東証,156.00,156.00,156.00,156.00,2000,312000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,10660.00,10710.00,10650.00,10660.00,50740,541956200
1321-O,225投信,大証,10730.00,10760.00,10700.00,10710.00,203934,2187811400
1322-T,上場パンタ,東証,4180.00,4200.00,4160.00,4200.00,8010,33546000
1323-O,南ア40,大証,285.00,287.00,281.00,285.00,21400,6058200
1324-O,RTS連動,大証,135.00,135.00,134.00,134.00,54500,7342900
1325-T,ボベスパ,東証,328.00,330.00,328.00,330.00,220200,72442100
1326-T,SPDRゴール,東証,9990.00,10000.00,9970.00,9990.00,9743,97284600
1327-T,EASY商品,東証,3870.00,3870.00,3850.00,3860.00,183,708080
1328-O,金連動,大証,3030.00,3030.00,3010.00,3020.00,66370,200668700
1329-T,iS225,東証,10650.00,10670.00,10600.00,10660.00,1400,14888500
1330-T,上場225,東証,10770.00,10810.00,10760.00,10780.00,230790,2489422200
1332-T,日水,東証1部,259.00,261.00,259.00,261.00,634000,165087100
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,127.00,127.00,126.00,127.00,870000,110040000
1340-O,印ルピー,大証,195.00,195.00,195.00,195.00,4700,916500
1341-O,伯レアル,大証,5270.00,5270.00,5270.00,5270.00,520,2740400
1342-O,露ルーブル,大証,311.00,311.00,311.00,311.00,600,186600
1343-T,REIT-ETF,東証,907.00,913.00,906.00,911.00,6030,5483300
1344-T,MXSコア30,東証,529.00,529.00,529.00,529.00,10,5290
1345-T,上場Jリート,東証,900.00,905.00,900.00,903.00,3100,2796100
1346-O,MXS225,大証,10700.00,10740.00,10700.00,10700.00,4573,49036200
1347-T,上場グリチ,東証,3300.00,3300.00,3290.00,3290.00,310,1020200
1348-T,MXSトピクス,東証,925.00,928.00,923.00,923.00,250,231180
1349-T,アジア債券,東証,10550.00,10550.00,10480.00,10480.00,34,357330
1352-T,ホウスイ,東証1部,103.00,103.00,102.00,102.00,5000,513000
1376-J,カネコ種,JQ,729.00,729.00,728.00,728.00,300,218500
1377-T,サカタのタネ,東証1部,1357.00,1359.00,1353.00,1353.00,18300,24819800
1378-T,雪国マイタケ,東証2部,401.00,402.00,400.00,401.00,3700,1481800
1379-T,ホクト,東証1部,1981.00,1984.00,1972.00,1972.00,25000,49415300
1380-J,秋川牧園,JQ,425.00,425.00,425.00,425.00,1000,425000
1381-J,アクシーズ,JQ,,,,,0,0
1382-J,ホーブ,JQ,,,,,0,0
1400-H,ルーデン,HCグロース,4880.00,4920.00,4880.00,4920.00,6,29410
1401-F,エムビーエス,福証Q-Board,50200.00,50200.00,50200.00,50200.00,2,100400
1405-T,サーラ住宅,東証2部,295.00,298.00,295.00,298.00,500,148700
1407-J,ウエストHD,JQ,1296.00,1306.00,1280.00,1290.00,72900,94588000
1408-H,サムシングHD,HCグロース,,,,,0,0
1412-T,チャイナボーチ,東証1部外国,18370.00,18520.00,18370.00,18400.00,96,1773960
1414-T,ショーボンド,東証1部,1563.00,1573.00,1558.00,1558.00,25200,39412400
1491-T,中外鉱,東証2部,41.00,42.00,41.00,41.00,72200,2961300
1491-O,中外鉱,大証2部,,,,,0,0
1514-T,住石HD,東証1部,94.00,94.00,92.00,92.00,77900,7240500
1515-T,日鉄鉱,東証1部,430.00,434.00,427.00,432.00,122000,52713000
1518-T,三井松,東証1部,149.00,151.00,149.00,150.00,3303000,494905000
1518-F,三井松,福証,,,,,0,0
1605-T,国際帝石,東証1部,720000.00,722000.00,718000.00,720000.00,2924,2105276000
1606-T,海洋掘削,東証1部,6360.00,6390.00,6170.00,6270.00,386200,2419808000
1610-T,ETF･電機,東証,,,,,0,0
1612-T,ETF･銀行,東証,133.00,133.00,133.00,133.00,1000,133000
1613-T,電機,東証,1307.00,1315.00,1305.00,1315.00,1070,1396650
1615-T,銀行,東証,139.00,139.00,137.00,138.00,304000,42010700
1617-T,食品,東証,14720.00,14720.00,14720.00,14720.00,10,147200
1618-T,エネ資源,東証,11830.00,11980.00,11830.00,11980.00,176,2094970
1619-T,建設資材,東証,,,,,0,0
1620-T,素材化学,東証,10910.00,10910.00,10910.00,10910.00,20,218200
1621-T,医薬品,東証,10940.00,10940.00,10890.00,10890.00,34,370760
1622-T,自動車,東証,12880.00,12880.00,12800.00,12870.00,95,1223240
1623-T,鉄鋼非鉄,東証,22130.00,22130.00,22130.00,22130.00,2,44260
1624-T,機械,東証,16600.00,16600.00,16600.00,16600.00,1,16600
1625-T,電機精密,東証,10500.00,10500.00,10500.00,10500.00,4,42000
1626-T,情通サ他,東証,8530.00,8530.00,8530.00,8530.00,9,76770
1627-T,電力ガス,東証,,,,,0,0
1628-T,運輸物流,東証,,,,,0,0
1629-T,商社卸売,東証,18300.00,18300.00,18300.00,18300.00,7,128100
1630-T,小売,東証,,,,,0,0
1631-T,銀行・17,東証,8130.00,8180.00,8130.00,8150.00,154,1253500
1632-T,金融,東証,8350.00,8350.00,8350.00,8350.00,15,125250
1633-T,不動産,東証,,,,,0,0
1634-T,ダイワ食品,東証,14790.00,14790.00,14730.00,14730.00,70,1032900
1635-T,ダイワエネ,東証,,,,,0,0
1636-T,ダイワ建設,東証,,,,,0,0
1637-T,ダイワ素材,東証,,,,,0,0
1638-T,ダイワ医薬,東証,,,,,0,0
1639-T,ダイワ自動,東証,12660.00,12660.00,12660.00,12660.00,1,12660
1640-T,ダイワ鉄鋼,東証,23210.00,23210.00,23210.00,23210.00,1,23210
1641-T,ダイワ機械,東証,17530.00,17530.00,17530.00,17530.00,7,122710
1642-T,ダイワ電機,東証,10500.00,10500.00,10500.00,10500.00,1,10500
1643-T,ダイワ情報,東証,,,,,0,0
1644-T,ダイワ電力,東証,,,,,0,0
1645-T,ダイワ運輸,東証,,,,,0,0
1646-T,ダイワ商社,東証,20370.00,20370.00,20370.00,20370.00,1,20370
1647-T,ダイワ小売,東証,,,,,0,0
1648-T,ダイワ銀行,東証,8770.00,8770.00,8770.00,8770.00,40,350800
1649-T,ダイワ金融,東証,,,,,0,0
1650-T,ダイワ不動,東証,,,,,0,0
1661-T,ガス開,東証1部,483.00,488.00,483.00,487.00,39000,18992000
1662-T,石油資源,東証1部,4230.00,4240.00,4210.00,4210.00,79500,335942000
1670-T,MXS三菱,東証,102.00,103.00,101.00,101.00,2400,243900
1671-O,WTI原油,大証,5790.00,5800.00,5770.00,5790.00,3946,22818900
1672-T,金ETF,東証,10070.00,10070.00,10070.00,10070.00,10,100700
1673-T,銀ETF,東証,1591.00,1593.00,1591.00,1593.00,6400,10182900
1674-T,プラチナETF,東証,13670.00,13670.00,13440.00,13450.00,73,987570
1675-T,パラジETF,東証,,,,,0,0
1676-T,キンゾクETF,東証,7970.00,7970.00,7970.00,7970.00,8,63760
1677-T,上場外債,東証,50400.00,50500.00,50400.00,50500.00,50,2524000
1678-T,インドNIF,東証,104.00,105.00,103.00,104.00,745400,77426200
1679-T,NYダウ,東証,9540.00,9560.00,9540.00,9560.00,1430,13661100
1701-T,昭和KDE,東証2部,92.00,93.00,92.00,93.00,16000,1485000
1711-T,省電舎,東証マザーズ,127400.00,127400.00,127400.00,127400.00,1,127400
1712-T,ダイセキソリュ,東証1部,111900.00,113000.00,111900.00,112000.00,22,2477500
1716-J,第一カッター,JQ,638.00,638.00,638.00,638.00,300,191400
1717-J,明豊ファシリ,JQ,102.00,102.00,102.00,102.00,300,30600
1718-J,美樹工業,JQ,185.00,185.00,181.00,181.00,3000,551000
1719-T,ハザマ,東証1部,80.00,80.00,78.00,78.00,39000,3089700
1720-T,東急建設,東証1部,229.00,233.00,228.00,228.00,42750,9845310
1721-T,コムシスHD,東証1部,974.00,980.00,968.00,973.00,355200,345900400
1721-O,コムシスHD,大証1部,,,,,0,0
1722-T,MISAWA,東証1部,291.00,292.00,287.00,287.00,32700,9485500
1722-O,MISAWA,大証1部,,,,,0,0
1723-J,日本電技,JQ,577.00,578.00,575.00,575.00,4600,2655500
1724-J,シンクレイヤ,JQ,,,,,0,0
1726-T,BRHD,東証2部,155.00,160.00,155.00,160.00,4000,625000
1728-J,ミサワ中国,JQ,,,,,0,0
1730-J,麻生フオーム,JQ,,,,,0,0
1734-S,北弘電社,札証,,,,,0,0
1736-J,オーテック,JQ,,,,,0,0
1737-T,三井エンジ,東証2部,,,,,0,0
1739-H,SEED,HCグロース,25200.00,25200.00,25200.00,25200.00,3,75600
1742-T,セコムテクノ,東証2部,2360.00,2395.00,2360.00,2375.00,3500,8352500
1743-O,コーアツ工業,大証2部,,,,,0,0
1743-F,コーアツ工業,福証,,,,,0,0
1751-J,日立プラサ,JQ,670.00,670.00,661.00,661.00,200,133100
1756-J,和興エンジ,JQ,,,,,0,0
1757-O,東邦グロ,大証2部,3.00,4.00,3.00,3.00,293280,1043670
1758-J,太洋基礎,JQ,,,,,0,0
1761-S,ミサワ北海,札証,,,,,0,0
1762-T,高松G,東証1部,1157.00,1170.00,1157.00,1157.00,18000,20934800
1762-O,高松G,大証1部,,,,,0,0
1764-T,工藤建設,東証2部,,,,,0,0
1766-T,東建コーポ,東証1部,2060.00,2080.00,2060.00,2065.00,41010,84854200
1767-T,沖ウィンテック,東証2部,515.00,518.00,515.00,515.00,45000,23195000
1768-O,ソネック,大証2部,,,,,0,0
1770-J,藤田エンジ,JQ,,,,,0,0
1771-F,日本乾溜,福証,118.00,118.00,118.00,118.00,1000,118000
1773-T,YTL,東証1部外国,190.00,190.00,190.00,190.00,1000,190000
1775-T,FFE&C,東証2部,163.00,163.00,163.00,163.00,5000,815000
1776-T,三住道路,東証2部,75.00,76.00,75.00,75.00,30000,2252000
1780-T,ヤマウラ,東証1部,203.00,204.00,199.00,199.00,14000,2823000
1782-J,常磐開発,JQ,,,,,0,0
1783-J,ACHL,JQ,34.00,35.00,32.00,33.00,77900,2557500
1787-J,ナカボーテック,JQ,,,,,0,0
1788-J,三東工業,JQ,,,,,0,0
1789-J,山加電業,JQ,118.00,123.00,118.00,123.00,5500,662900
1793-J,大本組,JQ,278.00,285.00,278.00,285.00,4000,1119000
1795-J,マサル,JQ,,,,,0,0
1798-J,守谷商会,JQ,,,,,0,0
1799-J,第一建設,JQ,636.00,636.00,636.00,636.00,1000,636000
1801-T,大成建,東証1部,159.00,161.00,159.00,161.00,1839000,294425000
1801-O,大成建,大証1部,,,,,0,0
1802-T,大林組,東証1部,318.00,322.00,318.00,320.00,1580000,505347000
1802-O,大林組,大証1部,,,,,0,0
1802-F,大林組,福証,,,,,0,0
1803-T,清水建,東証1部,335.00,338.00,334.00,335.00,1258000,422415000
1803-O,清水建,大証1部,,,,,0,0
1805-T,飛島建,東証1部,19.00,20.00,19.00,19.00,1206000,23026000
1807-J,佐藤渡辺,JQ,82.00,82.00,79.00,79.00,11000,881000
1808-T,長谷工,東証1部,66.00,67.00,65.00,67.00,6296500,418383000
1808-O,長谷工,大証1部,,,,,0,0
1810-T,松井建,東証1部,356.00,360.00,356.00,360.00,5000,1790000
1811-O,銭高組,大証1部,145.00,145.00,143.00,145.00,7000,1012000
1812-T,鹿島,東証1部,188.00,190.00,188.00,189.00,2345000,442499000
1812-O,鹿島,大証1部,,,,,0,0
1813-T,不動テトラ,東証1部,56.00,57.00,55.00,55.00,343300,19158700
1813-O,不動テトラ,大証1部,,,,,0,0
1814-T,大末建,東証1部,35.00,36.00,35.00,35.00,48000,1683000
1814-O,大末建,大証1部,,,,,0,0
1815-T,鉄建,東証1部,79.00,79.00,78.00,78.00,486000,38317000
1816-T,安藤建,東証1部,103.00,103.00,101.00,101.00,16000,1628000
1819-T,太平工,東証1部,387.00,392.00,387.00,390.00,286000,111338000
1820-T,西松建,東証1部,98.00,101.00,98.00,99.00,1448000,144503000
1821-T,三住建設,東証1部,73.00,74.00,73.00,73.00,50000,3679000
1822-T,大豊建,東証1部,60.00,61.00,60.00,60.00,129000,7747000
1824-T,前田建,東証1部,248.00,250.00,247.00,248.00,127000,31558000
1826-T,佐田建,東証1部,33.00,33.00,32.00,32.00,121000,3920000
1827-T,ナカノフドー,東証1部,172.00,175.00,170.00,171.00,11500,1988000
1827-O,ナカノフドー,大証1部,,,,,0,0
1828-T,田辺工,東証2部,593.00,593.00,593.00,593.00,100,59300
1832-S,北海工,札証,,,,,0,0
1833-T,奥村組,東証1部,318.00,320.00,317.00,317.00,165000,52539000
1833-O,奥村組,大証1部,,,,,0,0
1834-T,大和小田,東証1部,246.00,246.00,240.00,240.00,5500,1337500
1835-T,東鉄工,東証1部,511.00,518.00,511.00,513.00,16000,8236000
1840-T,土屋HD,東証2部,88.00,88.00,87.00,88.00,2000,175700
1840-S,土屋HD,札証,,,,,0,0
1841-J,サンユ建,JQ,514.00,515.00,514.00,515.00,200,102900
1844-T,大盛工業,東証2部,14.00,14.00,13.00,14.00,27600,382000
1846-T,鈴縫工,東証2部,,,,,0,0
1847-T,イチケン,東証1部,107.00,108.00,106.00,106.00,10000,1070000
1848-O,富士P･S,大証2部,,,,,0,0
1848-F,富士P･S,福証,,,,,0,0
1850-O,南海辰村,大証2部,26.00,26.00,25.00,26.00,59000,1503000
1852-T,浅沼組,東証1部,63.00,63.00,62.00,62.00,20000,1258000
1852-O,浅沼組,大証1部,,,,,0,0
1853-O,森組,大証2部,50.00,50.00,50.00,50.00,1000,50000
1860-T,戸田建,東証1部,305.00,305.00,301.00,302.00,530000,160473000
1860-O,戸田建,大証1部,,,,,0,0
1861-T,熊谷組,東証1部,56.00,56.00,55.00,55.00,198000,11017000
1865-T,青木あす,東証1部,472.00,480.00,472.00,473.00,6000,2853500
1866-T,北野建,東証1部,224.00,225.00,220.00,220.00,12000,2662000
1867-T,植木組,東証1部,123.00,127.00,123.00,125.00,25000,3122000
1868-T,三井ホーム,東証1部,446.00,447.00,445.00,446.00,21000,9371000
1870-T,矢作建,東証1部,633.00,637.00,632.00,635.00,29000,18376000
1871-T,PS三菱,東証1部,307.00,311.00,305.00,305.00,14100,4353500
1873-J,東ハウス,JQ,,,,,0,0
1875-O,青木マ,大証2部,197.00,197.00,197.00,197.00,1000,197000
1878-T,大東建,東証1部,4340.00,4370.00,4340.00,4350.00,203500,886630000
1879-T,新日建,東証1部,143.00,144.00,142.00,142.00,28600,4089800
1881-T,NIPPO,東証1部,656.00,668.00,656.00,659.00,206000,136544000
1881-S,NIPPO,札証,,,,,0,0
1882-T,東亜道,東証1部,119.00,120.00,118.00,118.00,31000,3688000
1883-T,前田道,東証1部,680.00,690.00,680.00,686.00,57000,39093000
1884-T,日道路,東証1部,188.00,189.00,187.00,187.00,84000,15806000
1885-T,東亜建,東証1部,95.00,95.00,93.00,93.00,113000,10607000
1885-S,東亜建,札証,,,,,0,0
1888-T,若築建,東証1部,42.00,43.00,42.00,42.00,157000,6616000
1890-T,東洋建,東証1部,42.00,43.00,41.00,41.00,464000,19514000
1890-O,東洋建,大証1部,,,,,0,0
1893-T,五洋建,東証1部,91.00,91.00,90.00,90.00,383000,34687000
1893-O,五洋建,大証1部,,,,,0,0
1896-T,大林道,東証1部,142.00,143.00,140.00,140.00,47000,6657000
1897-O,金下建,大証2部,313.00,317.00,313.00,317.00,3000,945000
1898-T,世紀東,東証1部,50.00,51.00,49.00,49.00,119000,5963000
1899-T,福田組,東証1部,173.00,173.00,171.00,171.00,13000,2239000
1904-J,大成温,JQ,335.00,335.00,335.00,335.00,1000,335000
1905-J,テノックス,JQ,228.00,228.00,228.00,228.00,1000,228000
1906-J,細田工,JQ,,,,,0,0
1907-T,東北ミサワ,東証1部,185.00,187.00,184.00,184.00,19400,3599100
1911-T,住友林,東証1部,747.00,750.00,747.00,749.00,5400,4043900
1911-O,住友林,大証1部,747.00,755.00,743.00,743.00,141200,105884200
1914-T,日基礎,東証1部,187.00,190.00,187.00,187.00,9200,1731900
1914-O,日基礎,大証1部,,,,,0,0
1916-T,日ビルド,東証1部,50.00,50.00,49.00,49.00,42000,2072000
1919-T,エスバイエル,東証1部,42.00,42.00,41.00,41.00,74000,3055000
1921-T,巴コーポ,東証1部,196.00,200.00,196.00,197.00,26300,5203200
1921-S,巴コーポ,札証,,,,,0,0
1924-T,パナホーム,東証1部,604.00,609.00,601.00,606.00,169000,102336000
1924-O,パナホーム,大証1部,,,,,0,0
1925-T,大和ハウス,東証1部,1000.00,1008.00,998.00,1001.00,911000,912910000
1925-O,大和ハウス,大証1部,,,,,0,0
1926-T,ライト工,東証1部,192.00,196.00,192.00,193.00,104200,20134000
1928-T,積水ハウス,東証1部,834.00,840.00,832.00,837.00,1755000,1467974000
1928-O,積水ハウス,大証1部,832.00,838.00,832.00,838.00,2000,1670000
1929-T,日特建,東証1部,40.00,40.00,39.00,39.00,80000,3193000
1930-T,北電事,東証1部,257.00,261.00,257.00,257.00,3000,775000
1931-O,日本電通,大証2部,,,,,0,0
1932-T,コミューチュア,東証1部,597.00,604.00,597.00,603.00,13000,7815000
1932-O,コミューチュア,大証1部,,,,,0,0
1933-O,西シス建,大証2部,,,,,0,0
1933-F,西シス建,福証,,,,,0,0
1934-T,ユアテック,東証1部,509.00,515.00,507.00,513.00,28000,14316000
1935-T,TTK,東証2部,,,,,0,0
1937-T,西電工,東証1部,350.00,354.00,350.00,350.00,16000,5625000
1937-O,西電工,大証1部,,,,,0,0
1937-F,西電工,福証,,,,,0,0
1938-T,日リーテック,東証2部,,,,,0,0
1939-T,四電工,東証1部,483.00,490.00,483.00,487.00,11000,5350000
1940-T,ツウケン,東証2部,,,,,0,0
1940-S,ツウケン,札証,,,,,0,0
1941-T,中電工,東証1部,1182.00,1195.00,1181.00,1181.00,37800,44935700
1942-T,関電工,東証1部,593.00,595.00,590.00,591.00,192000,113912000
1943-T,大明,東証1部,719.00,728.00,717.00,717.00,35900,25941500
1944-T,きんでん,東証1部,809.00,809.00,808.00,808.00,5000,4041000
1944-O,きんでん,大証1部,808.00,814.00,805.00,805.00,82000,66400000
1945-T,東京エネシス,東証1部,582.00,588.00,582.00,585.00,20000,11719000
1946-T,トーエネク,東証1部,541.00,548.00,541.00,546.00,24000,13096000
1948-T,弘電社,東証2部,,,,,0,0
1949-T,住電設,東証1部,479.00,485.00,476.00,480.00,22900,11032300
1949-O,住電設,大証1部,,,,,0,0
1950-T,日本電設,東証1部,745.00,757.00,745.00,753.00,53000,39879000
1951-T,協エクシオ,東証1部,795.00,799.00,791.00,791.00,182800,145242300
1952-T,日空調,東証1部,597.00,599.00,589.00,589.00,13800,8210800
1954-T,日工営,東証1部,284.00,290.00,284.00,285.00,36000,10323000
1955-T,東電通,東証1部,170.00,170.00,167.00,167.00,11000,1854000
1956-T,日電設,東証1部,295.00,302.00,295.00,299.00,13000,3888000
1959-T,九電工,東証1部,556.00,561.00,556.00,559.00,44000,24621000
1959-F,九電工,福証,,,,,0,0
1960-T,サンテック,東証2部,,,,,0,0
1961-T,三機工,東証1部,669.00,679.00,668.00,668.00,73000,48972000
1961-O,三機工,大証1部,,,,,0,0
1963-T,日揮,東証1部,1745.00,1754.00,1732.00,1738.00,804000,1399725000
1964-T,中外炉,東証1部,243.00,246.00,242.00,245.00,104000,25402000
1964-O,中外炉,大証1部,,,,,0,0
1965-T,テクノ菱和,東証2部,426.00,427.00,425.00,425.00,6300,2686200
1966-O,高田工,大証2部,343.00,344.00,343.00,344.00,1500,515000
1966-F,高田工,福証,,,,,0,0
1967-T,ヤマト,東証1部,325.00,325.00,321.00,321.00,6000,1933000
1968-T,太平電,東証1部,825.00,830.00,823.00,825.00,74000,61164000
1968-O,太平電,大証1部,,,,,0,0
1969-T,高砂熱,東証1部,806.00,807.00,802.00,802.00,47100,37892300
1969-O,高砂熱,大証1部,,,,,0,0
1970-T,日立プラ,東証1部,588.00,588.00,587.00,587.00,3000,1763000
1970-O,日立プラ,大証1部,,,,,0,0
1971-T,ビルト工,東証2部,75.00,75.00,75.00,75.00,3000,225000
1972-T,三晃金,東証1部,250.00,255.00,248.00,254.00,598000,150435000
1972-O,三晃金,大証1部,,,,,0,0
1973-T,NECネSI,東証1部,1073.00,1084.00,1071.00,1073.00,43700,47076000
1975-T,朝日工,東証1部,378.00,380.00,378.00,378.00,6000,2270000
1975-O,朝日工,大証1部,,,,,0,0
