コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,184.00,184.00,182.00,183.00,41000,7524000
1305-T,ETFTPX,東証,877.00,878.00,870.00,870.00,72900,63734900
1306-T,TOPIX投,東証,875.00,876.00,865.00,866.00,1017400,887407980
1308-T,上場TPX,東証,859.00,860.00,852.00,852.00,239000,204498000
1309-O,上証50連,大証,29000.00,29100.00,28600.00,28740.00,6997,201987280
1310-T,ETF･コア30,東証,514.00,514.00,503.00,503.00,5900,2976200
1311-T,TOPIX30,東証,511.00,511.00,504.00,507.00,4220,2150240
1312-O,RN小型コア,大証,8400.00,8400.00,8400.00,8400.00,25,210000
1313-T,KODEX200,東証,1433.00,1433.00,1433.00,1433.00,40,57320
1314-T,上場新興,東証,490.00,490.00,490.00,490.00,100,49000
1316-T,上場大型,東証,,,,,0,0
1317-T,上場中型,東証,,,,,0,0
1318-T,上場小型,東証,843.00,843.00,843.00,843.00,200,168600
1319-T,300投信,東証,163.00,163.00,161.00,161.00,9000,1457000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,9120.00,9140.00,9030.00,9050.00,45030,409017800
1321-O,225投信,大証,9120.00,9150.00,9040.00,9060.00,236893,2155361260
1322-T,上場パンタ,東証,4090.00,4100.00,3990.00,4020.00,33240,134602800
1323-O,南ア40,大証,236.00,236.00,232.00,232.00,13900,3258800
1324-O,RTS連動,大証,100.00,100.00,97.00,98.00,154700,15227700
1325-T,ボベスパ,東証,227.00,227.00,220.00,222.00,193200,43383300
1326-T,SPDRゴール,東証,8460.00,8500.00,8420.00,8430.00,12833,108564540
1327-T,EASY商品,東証,3500.00,3530.00,3480.00,3490.00,1174,4107800
1328-O,金連動,大証,2655.00,2660.00,2635.00,2640.00,46630,123481250
1329-T,iS225,東証,8950.00,8950.00,8880.00,8910.00,240,2146200
1330-T,上場225,東証,9160.00,9190.00,9070.00,9090.00,141080,1287325100
1332-T,日水,東証1部,279.00,282.00,278.00,279.00,588200,164539400
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,134.00,135.00,133.00,133.00,691000,92652000
1340-O,印ルピー,大証,208.00,208.00,207.00,207.00,7800,1617100
1341-O,伯レアル,大証,4710.00,4710.00,4680.00,4700.00,260,1222500
1342-O,露ルーブル,大証,303.00,303.00,303.00,303.00,100,30300
1343-T,REIT-ETF,東証,879.00,882.00,876.00,878.00,16380,14406020
1344-T,MXSコア30,東証,510.00,510.00,502.00,502.00,570,290120
1345-T,上場Jリート,東証,885.00,885.00,875.00,878.00,9000,7921200
1346-O,MXS225,大証,8990.00,8990.00,8940.00,8970.00,52,467410
1352-T,ホウスイ,東証1部,92.00,92.00,89.00,89.00,38000,3418000
1376-J,カネコ種,JQ,723.00,730.00,718.00,720.00,4800,3471300
1377-T,サカタのタネ,東証1部,1308.00,1316.00,1305.00,1305.00,17400,22784500
1378-T,雪国マイタケ,東証2部,381.00,383.00,380.00,383.00,46600,17791800
1379-T,ホクト,東証1部,1758.00,1782.00,1745.00,1749.00,129400,227582800
1380-J,秋川牧園,JQ,,,,,0,0
1381-J,アクシーズ,JQ,686.00,686.00,686.00,686.00,300,205800
1382-J,ホーブ,JQ,,,,,0,0
1400-H,ルーデン,HCグロース,4890.00,4890.00,4840.00,4890.00,464,2268910
1401-F,エムビーエス,福証Q-Board,,,,,0,0
1405-T,サーラ住宅,東証2部,353.00,353.00,353.00,353.00,1400,494200
1407-J,ウエストHD,JQ,128.00,136.00,128.00,131.00,81000,10514400
1408-H,サムシングHD,HCグロース,35000.00,35000.00,35000.00,35000.00,3,105000
1412-T,チャイナボーチ,東証1部外国,32000.00,33000.00,31600.00,32300.00,265,8568050
1414-T,ショーボンド,東証1部,1844.00,1849.00,1811.00,1819.00,62800,114851800
1416-O,日本インテ,大証2部,,,,,0,0
1491-T,中外鉱,東証2部,31.00,32.00,30.00,31.00,307300,9495600
1491-O,中外鉱,大証2部,,,,,0,0
1514-T,住石HD,東証1部,98.00,98.00,97.00,97.00,45400,4422700
1515-T,日鉄鉱,東証1部,330.00,339.00,326.00,339.00,195000,64683000
1518-T,三井松,東証1部,116.00,118.00,114.00,117.00,1035000,120164000
1518-F,三井松,福証,,,,,0,0
1605-T,国際帝石,東証1部,690000.00,696000.00,671000.00,674000.00,4175,2859342000
1610-T,ETF･電機,東証,1120.00,1120.00,1120.00,1120.00,200,224000
1612-T,ETF･銀行,東証,149.00,149.00,149.00,149.00,1000,149000
1613-T,電機,東証,1100.00,1100.00,1090.00,1090.00,610,666100
1615-T,銀行,東証,153.00,154.00,151.00,151.00,511700,78168400
1617-T,食品,東証,12280.00,12280.00,12110.00,12110.00,123,1493020
1618-T,エネ資源,東証,13820.00,13820.00,13700.00,13700.00,76,1043830
1619-T,建設資材,東証,,,,,0,0
1620-T,素材化学,東証,10440.00,10440.00,10440.00,10440.00,11,114840
1621-T,医薬品,東証,10170.00,10210.00,10130.00,10130.00,167,1698480
1622-T,自動車,東証,11760.00,11760.00,11600.00,11600.00,77,896110
1623-T,鉄鋼非鉄,東証,22000.00,22490.00,22000.00,22380.00,65,1449190
