コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,210.00,210.00,208.00,209.00,171000,35724000
1305-T,ETFTPX,東証,1570.00,1590.00,1556.00,1590.00,114500,179873200
1306-T,TOPIX投,東証,1558.00,1580.00,1542.00,1578.00,2940500,4587700300
1308-T,上場TPX,東証,1554.00,1582.00,1543.00,1582.00,693000,1078485000
1310-T,ETF･コア30,東証,967.00,967.00,953.00,967.00,1700,1637600
1311-T,TOPIX30,東証,975.00,975.00,959.00,974.00,15300,14736100
1319-T,300投信,東証,305.00,307.00,302.00,307.00,10000,3052000
1319-O,300投信,大証,,,,,0,0
1320-O,ETF225,大証,16170.00,16430.00,16020.00,16420.00,78810,1279388400
1321-O,225投信,大証,16110.00,16390.00,15960.00,16360.00,529090,8538983300
1328-O,金連動,大証,2545.00,2570.00,2535.00,2570.00,17060,43591850
1329-T,iS225,東証,16020.00,16190.00,16000.00,16160.00,540,8655400
1330-T,上場225,東証,16220.00,16460.00,16060.00,16460.00,171630,2796570700
1331-T,ニチロ,東証1部,173.00,173.00,172.00,172.00,246000,42410000
1332-T,日水,東証1部,522.00,522.00,501.00,517.00,3785200,1936707700
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハ本社,東証1部,191.00,193.00,189.00,192.00,742000,141831000
1352-T,ホウスイ,東証1部,155.00,155.00,152.00,155.00,40000,6144000
1376-J,カネコ種,JQ,646.00,646.00,645.00,645.00,8000,5161500
1377-T,サカタのタネ,東証1部,1490.00,1521.00,1488.00,1507.00,47000,70579000
1378-T,雪国マイタケ,東証2部,371.00,374.00,368.00,373.00,10900,4027100
1379-T,ホクト,東証1部,1945.00,1945.00,1913.00,1939.00,120000,232035300
1380-J,秋川牧園,JQ,,,,,0,0
1381-J,アクシーズ,JQ,,,,,0,0
1382-J,ホーブ,JQ,195000.00,202000.00,195000.00,200000.00,10,1962000
1400-H,アライヴ,HCグロース,182000.00,198000.00,182000.00,182000.00,108,19878000
1401-F,エムビーエス,福証Q-Board,,,,,0,0
1405-T,サーラ住宅,東証2部,710.00,710.00,683.00,693.00,900,625100
1407-J,ウエストHD,JQ,594.00,594.00,578.00,588.00,12200,7114000
1408-H,サムシングHD,HCグロース,138000.00,140000.00,131000.00,135000.00,46,6169000
1412-T,チャイナボーチ,東証1部外国,263000.00,283000.00,262000.00,283000.00,7056,1928457000
1491-T,中外鉱,東証2部,67.00,67.00,65.00,65.00,1025900,67644400
1491-O,中外鉱,大証2部,,,,,0,0
1503-T,住友炭,東証1部,101.00,106.00,100.00,105.00,5429500,559323000
1503-O,住友炭,大証1部,,,,,0,0
1515-T,日鉄鉱,東証1部,838.00,883.00,822.00,882.00,1074000,918159000
1518-T,三井松,東証1部,153.00,163.00,151.00,163.00,3418000,539849000
1605-T,国際帝石,東証1部,1040000.00,1050000.00,1030000.00,1050000.00,5151,5359110000
1610-T,ETF･電機,東証,2195.00,2195.00,2195.00,2195.00,200,439000
1612-T,ETF･銀行,東証,322.00,327.00,320.00,327.00,98000,31543000
1613-T,電機,東証,2210.00,2210.00,2170.00,2190.00,19100,41897000
1615-T,銀行,東証,320.00,324.00,316.00,323.00,8937700,2857703500
1661-T,ガス開,東証1部,720.00,736.00,715.00,730.00,141000,102426000
1662-T,石油資源,東証1部,7200.00,7400.00,7170.00,7400.00,123600,899598000
1701-T,昭和KDE,東証2部,176.00,176.00,173.00,175.00,12000,2093000
1710-O,ジェイオーHD,大証2部,,,,,0,0
1711-T,省電舎,東証マザーズ,310000.00,319000.00,305000.00,305000.00,7,2179000
1712-T,ダイセキソリュ,東証マザーズ,297000.00,303000.00,297000.00,302000.00,59,17674000
