コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,241.00,254.00,239.00,249.00,5079000,1252057000
1305-T,ETFTPX,東証,1110.00,1137.00,1108.00,1130.00,410110,463480440
1306-T,TOPIX投,東証,1107.00,1135.00,1106.00,1130.00,2993370,3363729110
1308-T,上場TPX,東証,1094.00,1121.00,1093.00,1115.00,319500,353921300
1309-O,上証50連,大証,17530.00,18000.00,17530.00,17880.00,2428,42870780
1310-T,ETF･コア30,東証,584.00,597.00,584.00,597.00,6080,3601240
1311-T,TOPIX30,東証,595.00,610.00,595.00,609.00,10990,6628980
1312-O,RN小型コア,大証,,,,,0,0
1313-T,KODEX200,東証,1985.00,1996.00,1970.00,1996.00,70,138700
1314-T,上場新興,東証,1037.00,1053.00,1037.00,1053.00,700,733600
1316-T,上場大型,東証,735.00,744.00,735.00,744.00,1140,838770
1317-T,上場中型,東証,1165.00,1184.00,1131.00,1131.00,820,937660
1318-T,上場小型,東証,1230.00,1249.00,1230.00,1249.00,60,74380
1319-T,300投信,東証,197.00,207.00,197.00,207.00,26000,5292000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,13240.00,13710.00,13230.00,13680.00,122568,1655563660
1321-O,225投信,大証,13260.00,13720.00,13230.00,13710.00,527219,7104827360
1322-T,上場パンタ,東証,2761.00,2885.00,2753.00,2885.00,5610,15759080
1323-O,南ア40,大証,324.00,324.00,324.00,324.00,700,226800
1324-O,RTS連動,大証,115.00,117.00,115.00,117.00,6600,767700
1325-T,ボベスパ,東証,177.00,180.00,177.00,179.00,64500,11490900
1326-T,SPDRゴール,東証,12150.00,12390.00,12100.00,12310.00,10170,124128600
1327-T,EASY商品,東証,4190.00,4200.00,4190.00,4200.00,13,54500
1328-O,金連動,大証,3615.00,3680.00,3610.00,3670.00,7710,28069600
1329-T,iS225,東証,13180.00,13610.00,13180.00,13450.00,8970,120258200
1330-T,上場225,東証,13290.00,13740.00,13290.00,13620.00,425660,5757754500
1332-T,日水,東証1部,186.00,191.00,185.00,191.00,1049400,198347800
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,186.00,192.00,186.00,192.00,1600000,303335000
1343-T,REIT-ETF,東証,1338.00,1378.00,1338.00,1377.00,192390,262934410
1344-T,MXSコア30,東証,580.00,592.00,580.00,591.00,11490,6775800
1345-T,上場Jリート,東証,1286.00,1315.00,1285.00,1314.00,43600,56763200
1346-O,MXS225,大証,13240.00,13690.00,13220.00,13690.00,32028,429414920
1347-T,上場グリチ,東証,3940.00,3990.00,3920.00,3920.00,120,477200
1348-T,MXSトピクス,東証,1098.00,1127.00,1098.00,1119.00,39870,44367710
1349-T,アジア債券,東証,12150.00,12400.00,12140.00,12220.00,63,771370
1352-T,ホウスイ,東証1部,116.00,119.00,115.00,117.00,58000,6735000
1376-J,カネコ種,JQスタンダード,806.00,820.00,806.00,812.00,5700,4631100
1377-T,サカタのタネ,東証1部,1331.00,1347.00,1320.00,1340.00,342800,457995700
1378-T,雪国マイタケ,東証2部,233.00,234.00,231.00,232.00,6900,1605900
1379-T,ホクト,東証1部,1718.00,1720.00,1697.00,1719.00,64100,109776600
1380-J,秋川牧園,JQスタンダード,,,,,0,0
1381-J,アクシーズ,JQスタンダード,837.00,837.00,825.00,825.00,600,501000
1382-J,ホーブ,JQスタンダード,91500.00,91500.00,91500.00,91500.00,1,91500
1383-J,ベルグアース,JQスタンダード,1450.00,1470.00,1430.00,1461.00,2000,2905200
1400-J,ルーデン,JQグロース,13700.00,14000.00,13500.00,14000.00,48,660590
1401-F,エムビーエス,福証Q-Board,1000.00,1000.00,1000.00,1000.00,100,100000
1405-T,サーラ住宅,東証2部,758.00,784.00,758.00,784.00,1400,1080500
1407-J,ウエストHD,JQスタンダード,2806.00,2937.00,2800.00,2905.00,115200,329922100
1408-J,サムシングHD,JQグロース,79500.00,81000.00,79400.00,81000.00,20,1597200
1414-T,ショーボンド,東証1部,3810.00,3940.00,3805.00,3905.00,122000,473311500
1417-T,ミライトHD,東証1部,881.00,907.00,881.00,904.00,149900,134815400
1417-O,ミライトHD,大証1部,,,,,0,0
1418-J,インターライフ,JQスタンダード,175.00,188.00,175.00,188.00,42700,7796100
1419-T,タマホーム,東証1部,1016.00,1037.00,1016.00,1035.00,53600,55022100
1419-F,タマホーム,福証,,,,,0,0
1420-T,サンヨーH,東証2部,755.00,798.00,755.00,793.00,32000,24837600
1491-T,中外鉱,東証2部,28.00,30.00,28.00,29.00,607200,17589600
1491-O,中外鉱,大証2部,,,,,0,0
1514-T,住石HD,東証1部,130.00,133.00,130.00,132.00,403300,52909300
1515-T,日鉄鉱,東証1部,369.00,381.00,366.00,381.00,89000,33494000
1518-T,三井松,東証1部,137.00,139.00,137.00,137.00,894000,123161000
1518-F,三井松,福証,,,,,0,0
1540-T,純金信託,東証,4000.00,4040.00,3985.00,4040.00,54940,220020305
1541-T,純プラ信,東証,4155.00,4195.00,4150.00,4160.00,2445,10196745
1542-T,純銀信託,東証,6200.00,6330.00,6200.00,6250.00,4998,31349070
1543-T,純パラ信,東証,20460.00,20520.00,20460.00,20520.00,47,963340
1544-T,上場MSジ,東証,,,,,0,0
1545-O,NASDAQ投,大証,2830.00,2865.00,2830.00,2865.00,140,399550
1546-O,NYダウ30,大証,14050.00,14180.00,14030.00,14180.00,779,10974920
1547-T,上場米国,東証,1665.00,1688.00,1665.00,1680.00,4560,7613320
1548-T,上場チャイナ,東証,856.00,876.00,855.00,874.00,1870,1603240
1549-T,上場インド,東証,927.00,943.00,925.00,943.00,1340,1252890
1550-T,MXS外株,東証,1362.00,1367.00,1360.00,1367.00,860,1173280
1551-O,JASDAQ20,大証,7620.00,7820.00,7610.00,7690.00,4960,38136400
1552-O,VIX短期,大証,2112.00,2127.00,2057.00,2057.00,162749,340054604
1554-T,上場MS世,東証,1245.00,1272.00,1232.00,1268.00,4550,5642290
1555-T,上場Aリート,東証,1225.00,1237.00,1225.00,1237.00,2090,2581910
1556-T,上場日中,東証,1105.00,1135.00,1103.00,1133.00,430,481980
1557-T,SPDR500,東証,15550.00,15710.00,15490.00,15670.00,782,12195890
1559-T,タイSET50,東証,2654.00,2728.00,2632.00,2725.00,4161,11070105
1560-T,ブルサKLCI,東証,5300.00,5400.00,5290.00,5400.00,660,3516670
1561-O,VIX中期,大証,54600.00,55000.00,54000.00,55000.00,74,4006400
1562-T,YMアジ日,東証,,,,,0,0
1563-T,マザーズコア,東証,1469.00,1500.00,1459.00,1500.00,6864,10131320
1565-T,日経カバコ,東証,12790.00,12950.00,12790.00,12950.00,107,1375260
1566-T,上場EM債,東証,61700.00,61700.00,61000.00,61600.00,18,1107000
1567-T,MXSリスク5,東証,,,,,0,0
1568-T,TPX2倍,東証,15920.00,16750.00,15890.00,16540.00,378940,6220925300
1569-T,TPX-1倍,東証,7050.00,7060.00,6870.00,6920.00,106240,743199000
1570-O,日経レバ,大証,7580.00,8130.00,7560.00,8110.00,3830019,30148255140
1571-O,日経インバ,大証,3990.00,3990.00,3845.00,3850.00,272608,1068869000
1572-T,H株ブル,東証,8530.00,8860.00,8530.00,8730.00,1790,15610500
1573-T,H株ベア,東証,13080.00,13490.00,13080.00,13470.00,230,3078900
1574-T,MXSリスク10,東証,1300.00,1300.00,1300.00,1300.00,330,429000
1575-T,中国A300,東証,378.00,378.00,378.00,378.00,10,3780
1576-T,南方A50,東証,344.00,344.00,343.00,343.00,600,205950
1577-T,高配当70,東証,15710.00,16120.00,15710.00,16000.00,1173,18634550
1578-T,上場225M,東証,1050.00,1109.00,1050.00,1077.00,5144,5462854
1579-T,日経2倍,東証,7920.00,8480.00,7910.00,8330.00,125130,1026713300
1580-T,日経-1倍,東証,10740.00,10750.00,10400.00,10470.00,13280,140146000
1605-T,国際帝石,東証1部,409000.00,412500.00,407500.00,408000.00,27613,11297229000
1606-T,海洋掘削,東証1部,7450.00,7790.00,7440.00,7720.00,347500,2630309000
1610-T,ETF･電機,東証,,,,,0,0
1612-T,ETF･銀行,東証,158.00,158.00,158.00,158.00,7500,1185000
1613-T,電機,東証,,,,,0,0
1615-T,銀行,東証,166.00,170.00,166.00,169.00,644800,108630200
1617-T,食品,東証,,,,,0,0
1618-T,エネ資源,東証,11200.00,11200.00,11200.00,11200.00,10,112000
1619-T,建設資材,東証,14850.00,15020.00,14850.00,15020.00,114,1694790
1620-T,素材化学,東証,,,,,0,0
1621-T,医薬品,東証,13070.00,13390.00,13020.00,13390.00,37,486850
1622-T,自動車,東証,18250.00,18760.00,18200.00,18700.00,857,15947600
1623-T,鉄鋼非鉄,東証,17500.00,17500.00,17500.00,17500.00,7,122500
1624-T,機械,東証,22610.00,22610.00,22610.00,22610.00,4,90440
1625-T,電機精密,東証,10250.00,10250.00,10250.00,10250.00,1,10250
1626-T,情通サ他,東証,,,,,0,0
1627-T,電力ガス,東証,7280.00,7440.00,7280.00,7430.00,141,1042870
1628-T,運輸物流,東証,,,,,0,0
1629-T,商社卸売,東証,20800.00,20800.00,20800.00,20800.00,1,20800
1630-T,小売,東証,12770.00,12780.00,12770.00,12780.00,2,25550
1631-T,銀行・17,東証,9900.00,10160.00,9900.00,10070.00,158,1592030
1632-T,金融,東証,10080.00,10290.00,10080.00,10290.00,17,173610
1633-T,不動産,東証,26900.00,27900.00,26750.00,27830.00,205,5581330
1634-T,ダイワ食品,東証,,,,,0,0
1635-T,ダイワエネ,東証,,,,,0,0
1636-T,ダイワ建設,東証,,,,,0,0
1637-T,ダイワ素材,東証,,,,,0,0
1638-T,ダイワ医薬,東証,,,,,0,0
1639-T,ダイワ自動,東証,18000.00,18000.00,18000.00,18000.00,2,36000
1640-T,ダイワ鉄鋼,東証,,,,,0,0
1641-T,ダイワ機械,東証,,,,,0,0
1642-T,ダイワ電機,東証,,,,,0,0
1643-T,ダイワ情報,東証,,,,,0,0
1644-T,ダイワ電力,東証,,,,,0,0
1645-T,ダイワ運輸,東証,,,,,0,0
1646-T,ダイワ商社,東証,,,,,0,0
1647-T,ダイワ小売,東証,,,,,0,0
1648-T,ダイワ銀行,東証,10390.00,10430.00,10390.00,10430.00,2,20820
1649-T,ダイワ金融,東証,9900.00,10180.00,9900.00,10180.00,31,307460
1650-T,ダイワ不動,東証,27990.00,27990.00,27990.00,27990.00,7,195930
1661-T,ガス開,東証1部,650.00,662.00,650.00,656.00,152000,99817000
1662-T,石油資源,東証1部,3970.00,4080.00,3955.00,4075.00,159100,642087500
1670-T,MXS三菱,東証,111.00,115.00,111.00,115.00,2800,318200
1671-O,WTI原油,大証,5690.00,5740.00,5660.00,5740.00,473,2690000
1672-T,金ETF,東証,,,,,0,0
1673-T,銀ETF,東証,2076.00,2076.00,2076.00,2076.00,10,20760
1674-T,プラチナETF,東証,,,,,0,0
1675-T,パラジETF,東証,,,,,0,0
1676-T,キンゾクETF,東証,,,,,0,0
1677-T,上場外債,東証,49350.00,49750.00,49350.00,49750.00,430,21224500
1678-T,インドNIF,東証,87.00,89.00,87.00,89.00,46600,4077500
1679-T,NYダウ,東証,13940.00,14070.00,13800.00,14000.00,460,6422600
1680-T,上場MSコク,東証,1423.00,1441.00,1420.00,1441.00,6820,9743460
1681-T,上場MSエマ,東証,1086.00,1095.00,1078.00,1086.00,8630,9349590
1682-O,白金先物,大証,244.00,244.00,244.00,244.00,700,170800
1683-O,金先物,大証,3800.00,3875.00,3800.00,3875.00,130,499300
1684-T,商品ETF,東証,,,,,0,0
1685-T,エナジーETF,東証,,,,,0,0
1686-T,メタルETF,東証,,,,,0,0
