コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,203.00,203.00,199.00,201.00,198000,39775000
1305-T,ETFTPX,東証,1595.00,1596.00,1582.00,1589.00,39300,62484200
1306-T,TOPIX投,東証,1583.00,1588.00,1569.00,1578.00,5720400,9024234400
1308-T,上場TPX,東証,1580.00,1583.00,1567.00,1568.00,1233000,1936736000
1309-O,上証50連,大証,61200.00,61800.00,60200.00,61800.00,5963,364715600
1310-T,ETF･コア30,東証,994.00,994.00,994.00,994.00,600,596400
1311-T,TOPIX30,東証,996.00,996.00,990.00,990.00,2100,2083000
1312-O,RN小型コア,大証,13850.00,13850.00,13670.00,13800.00,170,2347800
1313-T,KODEX200,東証,3150.00,3150.00,3000.00,3000.00,700,2130000
1319-T,300投信,東証,311.00,314.00,311.00,314.00,3000,936000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,16250.00,16270.00,16070.00,16110.00,45350,731834000
1321-O,225投信,大証,16190.00,16230.00,16020.00,16080.00,475290,7647091800
1328-O,金連動,大証,2880.00,2895.00,2865.00,2880.00,65920,189807050
1329-T,iS225,東証,16090.00,16090.00,15750.00,16000.00,1100,17495000
1330-T,上場225,東証,16300.00,16340.00,16130.00,16210.00,69710,1129799600
1332-T,日水,東証1部,610.00,618.00,600.00,607.00,2528300,1531631600
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,146.00,146.00,144.00,144.00,844000,122579000
1352-T,ホウスイ,東証1部,154.00,160.00,153.00,160.00,51000,8039000
1376-J,カネコ種,JQ,639.00,643.00,639.00,640.00,3400,2175800
1377-T,サカタのタネ,東証1部,1536.00,1543.00,1531.00,1536.00,34400,52792400
1378-T,雪国マイタケ,東証2部,385.00,387.00,382.00,382.00,4600,1771300
1379-T,ホクト,東証1部,1880.00,1890.00,1872.00,1888.00,133300,251181500
1380-J,秋川牧園,JQ,,,,,0,0
1381-J,アクシーズ,JQ,,,,,0,0
1382-J,ホーブ,JQ,197000.00,198000.00,197000.00,198000.00,3,593000
1400-H,アライヴ,HCグロース,137000.00,138000.00,130000.00,137000.00,23,3082000
1401-F,エムビーエス,福証Q-Board,,,,,0,0
1405-T,サーラ住宅,東証2部,619.00,619.00,617.00,617.00,400,247400
1407-J,ウエストHD,JQ,409.00,412.00,409.00,410.00,9700,3969100
1408-H,サムシングHD,HCグロース,112000.00,135000.00,111000.00,135000.00,2212,288255000
1412-T,チャイナボーチ,東証1部外国,191000.00,201000.00,190000.00,199000.00,4335,853555000
1491-T,中外鉱,東証2部,45.00,47.00,44.00,46.00,5344100,240516700
1491-O,中外鉱,大証2部,45.00,45.00,45.00,45.00,200,9000
1503-T,住友炭,東証1部,109.00,110.00,106.00,109.00,10503500,1130816000
1503-O,住友炭,大証1部,,,,,0,0
1515-T,日鉄鉱,東証1部,826.00,826.00,807.00,814.00,338000,274748000
1518-T,三井松,東証1部,275.00,298.00,274.00,295.00,34783000,10052049000
1518-F,三井松,福証,,,,,0,0
1605-T,国際帝石,東証1部,1190000.00,1190000.00,1160000.00,1160000.00,4989,5839310000
1610-T,ETF･電機,東証,,,,,0,0
1612-T,ETF･銀行,東証,346.00,348.00,345.00,345.00,19000,6577000
1613-T,電機,東証,2170.00,2170.00,2155.00,2155.00,700,1517500
1615-T,銀行,東証,345.00,349.00,343.00,344.00,1211200,418441600
1661-T,ガス開,東証1部,690.00,691.00,679.00,680.00,77000,52512000
1662-T,石油資源,東証1部,8620.00,8630.00,8400.00,8440.00,109600,926212000
1701-T,昭和KDE,東証2部,144.00,144.00,140.00,141.00,77000,10893000
1710-O,ジェイオーHD,大証2部,1605.00,1635.00,1605.00,1621.00,9600,15626000
1711-T,省電舎,東証マザーズ,270000.00,270000.00,270000.00,270000.00,2,540000
1712-T,ダイセキソリュ,東証マザーズ,430000.00,437000.00,405000.00,408000.00,239,100395000
1716-J,第一カッター,JQ,835.00,835.00,835.00,835.00,100,83500
1717-J,明豊ファシリ,JQ,175.00,177.00,173.00,174.00,12500,2177800
1718-J,美樹工業,JQ,269.00,269.00,261.00,265.00,21000,5532000
1719-T,ハザマ,東証1部,117.00,118.00,115.00,117.00,260900,30410200
1720-T,東急建設,東証1部,515.00,522.00,505.00,511.00,160140,82087010
1721-T,コムシスHD,東証1部,893.00,908.00,879.00,887.00,1904000,1695119000
1721-O,コムシスHD,大証1部,,,,,0,0
1722-T,MISAWA,東証1部,582.00,594.00,569.00,577.00,438100,252830700
1722-O,MISAWA,大証1部,,,,,0,0
1723-J,日本電技,JQ,880.00,880.00,868.00,868.00,8700,7646600
1724-J,シンクレイヤ,JQ,,,,,0,0
1725-T,フジタ,東証2部,325.00,330.00,317.00,320.00,27900,8999600
1726-T,BRHD,東証2部,145.00,145.00,145.00,145.00,2000,290000
1728-J,ミサワ中国,JQ,215.00,215.00,215.00,215.00,1000,215000
1729-H,三光ソフラン,HCグロース,127.00,127.00,126.00,126.00,11000,1391000
1730-J,麻生フオーム,JQ,,,,,0,0
1734-S,北弘電社,札証,125.00,125.00,125.00,125.00,8000,1000000
1735-J,伊田テクノス,JQ,,,,,0,0
1736-J,オーテック,JQ,625.00,625.00,620.00,625.00,19000,11830000
1737-T,三井エンジ,東証2部,,,,,0,0
1739-H,SEED,HCグロース,141000.00,143000.00,141000.00,142000.00,10,1416000
1742-T,セコムテクノ,東証2部,3740.00,3750.00,3650.00,3650.00,4500,16735000
1743-O,コーアツ工業,大証2部,336.00,340.00,336.00,340.00,9000,3051000
1743-F,コーアツ工業,福証,,,,,0,0
1744-J,キョーエイ,JQ,138.00,138.00,138.00,138.00,1000,138000
1750-O,カナック,大証2部,,,,,0,0
1751-J,日立プラサ,JQ,774.00,780.00,774.00,780.00,7600,5899900
1753-J,土屋ツバイ,JQ,149000.00,149000.00,149000.00,149000.00,9,1341000
1754-J,東新住建,JQ,477.00,500.00,435.00,440.00,38300,18513500
1756-J,和興エンジ,JQ,230.00,230.00,230.00,230.00,1000,230000
1757-O,千年の杜,大証2部,43.00,43.00,42.00,43.00,123560,5210680
1758-J,太洋基礎,JQ,400.00,400.00,399.00,399.00,5000,1999000
1761-S,ミサワ北海,札証,455.00,455.00,455.00,455.00,1000,455000
1762-T,高松建設,東証1部,1644.00,1646.00,1622.00,1641.00,9700,15886900
1762-O,高松建設,大証1部,,,,,0,0
1763-J,北陸ミサワ,JQ,320.00,325.00,320.00,325.00,1000,322500
1764-T,工藤建設,東証2部,158.00,158.00,140.00,145.00,5000,741000
1766-T,東建コーポ,東証1部,3830.00,3830.00,3830.00,3830.00,27860,106703800
1767-T,沖ウィンテック,東証2部,599.00,599.00,530.00,530.00,34000,18158000
1768-O,ソネック,大証2部,275.00,275.00,271.00,271.00,2000,546000
1770-J,藤田エンジ,JQ,502.00,502.00,500.00,500.00,8000,4003000
1771-F,日本乾溜,福証,130.00,130.00,130.00,130.00,1000,130000
1773-T,YTL,東証1部外国,,,,,0,0
1774-O,機動建設,大証2部,92.00,93.00,91.00,93.00,53000,4868000
1775-T,富士E&C,東証2部,181.00,187.00,180.00,187.00,24000,4394000
1776-T,三住道路,東証2部,98.00,99.00,98.00,99.00,3000,295000
1778-T,古河総設,東証2部,169.00,169.00,169.00,169.00,3000,507000
1779-J,松本建工,JQ,,,,,0,0
1780-T,ヤマウラ,東証1部,286.00,289.00,286.00,286.00,3000,861000
1781-J,国土総建,JQ,603.00,610.00,599.00,610.00,14000,8430000
1782-J,常磐開発,JQ,,,,,0,0
1783-J,ACHL,JQ,16.00,17.00,15.00,16.00,893000,14216000
1786-T,オリエ白石,東証1部,310.00,315.00,301.00,311.00,105700,32527600
1787-J,ナカボーテック,JQ,,,,,0,0
1788-J,三東工業,JQ,154.00,155.00,152.00,152.00,5000,767000
1789-J,山加電業,JQ,362.00,365.00,350.00,352.00,6200,2211000
1790-O,平和奥田,大証2部,80.00,86.00,71.00,76.00,1497000,114994000
1793-J,大本組,JQ,629.00,629.00,628.00,628.00,2000,1257000
1795-J,マサル,JQ,350.00,350.00,350.00,350.00,1000,350000
1798-J,守谷商会,JQ,,,,,0,0
1799-J,第一建設,JQ,,,,,0,0
1801-T,大成建,東証1部,336.00,337.00,328.00,335.00,6673000,2223711000
1801-O,大成建,大証1部,,,,,0,0
1802-T,大林組,東証1部,583.00,583.00,571.00,580.00,6013000,3458724000
1802-O,大林組,大証1部,,,,,0,0
1802-F,大林組,福証,,,,,0,0
1803-T,清水建,東証1部,494.00,500.00,490.00,497.00,3999000,1981216000
