コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,200.00,201.00,199.00,200.00,177000,35375000
1305-T,ETFTPX,東証,956.00,965.00,953.00,963.00,55200,52905700
1306-T,TOPIX投,東証,951.00,960.00,947.00,956.00,956130,911633800
1308-T,上場TPX,東証,934.00,944.00,934.00,944.00,41700,39139500
1309-O,上証50連,大証,31100.00,31450.00,31050.00,31300.00,6879,214840650
1310-T,ETF･コア30,東証,537.00,539.00,537.00,539.00,700,377000
1311-T,TOPIX30,東証,532.00,538.00,532.00,538.00,2210,1177240
1312-O,RN小型コア,大証,9460.00,9590.00,9460.00,9590.00,35,331540
1313-T,KODEX200,東証,1360.00,1377.00,1360.00,1377.00,240,326810
1314-T,上場新興,東証,595.00,597.00,594.00,597.00,4700,2804100
1316-T,上場大型,東証,,,,,0,0
1317-T,上場中型,東証,,,,,0,0
1318-T,上場小型,東証,978.00,978.00,978.00,978.00,50,48900
1319-T,300投信,東証,,,,,0,0
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,10120.00,10230.00,10100.00,10210.00,52580,534707500
1321-O,225投信,大証,10110.00,10220.00,10090.00,10200.00,248750,2530096860
1322-T,上場パンタ,東証,4060.00,4060.00,4030.00,4060.00,13790,55922300
1323-O,南ア40,大証,272.00,272.00,269.00,269.00,9100,2465800
1324-O,RTS連動,大証,115.00,116.00,114.00,115.00,128200,14710200
1325-T,ボベスパ,東証,266.00,268.00,261.00,268.00,137900,36611900
1326-T,SPDRゴール,東証,8800.00,8850.00,8780.00,8850.00,15602,137431350
1327-T,EASY商品,東証,4020.00,4020.00,3990.00,4000.00,840,3367000
1328-O,金連動,大証,2730.00,2730.00,2715.00,2730.00,36820,100333150
1329-T,iS225,東証,10010.00,10120.00,10010.00,10080.00,340,3420400
1330-T,上場225,東証,10170.00,10280.00,10150.00,10260.00,147090,1502419600
1332-T,日水,東証1部,253.00,256.00,252.00,255.00,603000,153061400
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,146.00,147.00,145.00,146.00,453000,66137000
1340-O,印ルピー,大証,209.00,210.00,209.00,210.00,3700,775300
1341-O,伯レアル,大証,5090.00,5090.00,5070.00,5070.00,50,254200
1342-O,露ルーブル,大証,319.00,319.00,319.00,319.00,200,63800
1343-T,REIT-ETF,東証,1012.00,1028.00,1010.00,1026.00,40000,40667170
1344-T,MXSコア30,東証,,,,,0,0
1345-T,上場Jリート,東証,999.00,1006.00,990.00,1006.00,20200,20143700
1346-O,MXS225,大証,10050.00,10050.00,10030.00,10050.00,3,30130
1347-T,上場グリチ,東証,3220.00,3220.00,3190.00,3190.00,800,2566500
1348-T,MXSトピクス,東証,925.00,932.00,922.00,932.00,1410,1307960
1349-T,アジア債券,東証,11490.00,11490.00,11490.00,11490.00,8,91920
1352-T,ホウスイ,東証1部,146.00,146.00,143.00,145.00,79000,11435000
1376-J,カネコ種,JQ,829.00,829.00,804.00,818.00,8200,6727300
1377-T,サカタのタネ,東証1部,1312.00,1330.00,1310.00,1328.00,23000,30396000
1378-T,雪国マイタケ,東証2部,375.00,375.00,367.00,373.00,10700,3970100
1379-T,ホクト,東証1部,1987.00,1990.00,1966.00,1974.00,40000,79174600
1380-J,秋川牧園,JQ,,,,,0,0
1381-J,アクシーズ,JQ,760.00,760.00,760.00,760.00,100,76000
1382-J,ホーブ,JQ,,,,,0,0
1400-H,ルーデン,HCグロース,6340.00,7240.00,6340.00,7240.00,324,2179370
1401-F,エムビーエス,福証Q-Board,72100.00,72100.00,72100.00,72100.00,2,144200
1405-T,サーラ住宅,東証2部,372.00,372.00,370.00,370.00,400,148400
1407-J,ウエストHD,JQ,455.00,465.00,441.00,455.00,68200,31044600
1408-H,サムシングHD,HCグロース,67100.00,67100.00,67100.00,67100.00,1,67100
1412-T,チャイナボーチ,東証1部外国,32000.00,32400.00,31000.00,31000.00,193,6114750
1414-T,ショーボンド,東証1部,1824.00,1847.00,1821.00,1843.00,53400,98147000
1491-T,中外鉱,東証2部,41.00,41.00,40.00,41.00,166400,6750100
1491-O,中外鉱,大証2部,42.00,42.00,42.00,42.00,100,4200
1514-T,住石HD,東証1部,112.00,112.00,108.00,112.00,194200,21491600
1515-T,日鉄鉱,東証1部,402.00,412.00,402.00,409.00,37000,15035000
1518-T,三井松,東証1部,136.00,137.00,135.00,136.00,586000,79559000
1518-F,三井松,福証,,,,,0,0
1605-T,国際帝石,東証1部,756000.00,758000.00,746000.00,749000.00,4286,3219495000
1610-T,ETF･電機,東証,,,,,0,0
1612-T,ETF･銀行,東証,,,,,0,0
1613-T,電機,東証,1194.00,1201.00,1194.00,1201.00,110,131620
1615-T,銀行,東証,178.00,180.00,177.00,178.00,891300,158659400
1617-T,食品,東証,13700.00,13870.00,13700.00,13750.00,22,301620
1618-T,エネ資源,東証,15060.00,15140.00,14990.00,15020.00,184,2767170
1619-T,建設資材,東証,,,,,0,0
1620-T,素材化学,東証,11400.00,11530.00,11400.00,11530.00,25,285130
1621-T,医薬品,東証,10900.00,10980.00,10890.00,10980.00,33,361210
1622-T,自動車,東証,11810.00,11950.00,11800.00,11950.00,1605,19021850
1623-T,鉄鋼非鉄,東証,23770.00,24000.00,23770.00,23980.00,33,791370
